,username,date,retweets,favorites,text,mentions,hashtags,id,Sentiment,Sentiment_Score
30,aprilxobieber,10/24/2017 19:38,0,0,happy death day pretty good killer ending disappointing,,,9.2297E+17,positive,0.2875
31,Gazray,10/24/2017 19:37,0,0,excellent,,#happydeathday,9.2297E+17,positive,1
32,mxmory,10/24/2017 19:37,0,1,happy death day receives,@TRU5TT,,9.2297E+17,positive,0.8
33,goldthirst,10/24/2017 19:35,4,1,bruh still seen happy death day,,,9.2297E+17,positive,0.8
34,niallant3,10/24/2017 19:34,0,2,loved,,#happydeathday #horror #horrormovie #horrorfilm #horrorfilms #scarymovies #HorrorMovies,9.2297E+17,positive,0.7
35,kikiswish05,10/24/2017 19:31,0,0,hope good want,,#HappyDeathDay #siblingdate,9.22969E+17,positive,0.7
36,MkyyR_,10/24/2017 19:31,0,1,believe figured killer happy death day movie trailer,,,9.22969E+17,positive,0.8
37,JMDC_16,10/24/2017 19:30,0,2,sige ra kog katawa sa happy death day hahahaha,,,9.22969E+17,positive,0.5
38,coverlit,10/24/2017 19:29,0,0,time see happy death day eat candy feel,,,9.22968E+17,positive,0.8
39,CinemaTomahawk,10/24/2017 19:26,0,0,happy starting friday october happy death day rated showtime night,,,9.22968E+17,positive,0.533333333
40,_martinviaje,10/24/2017 19:25,1,6,happy death day bad genius watch u penge barya,,,9.22967E+17,positive,0.05
41,amynd1,10/24/2017 19:24,0,1,happy death day,,,9.22967E+17,positive,0.8
42,lovesierra3,10/24/2017 19:24,0,0,going see happy death day,,,9.22967E+17,positive,0.8
43,clowchan,10/24/2017 19:23,0,0,also happy death day good,,,9.22967E+17,positive,0.75
44,joe_weston18,10/24/2017 19:23,0,2,dudeee tryin go watch happy death day tonight,,,9.22967E+17,positive,0.8
45,Cinemax3d,10/24/2017 19:23,0,0,este jueves estrenaremos,,#FelizD #HappyDeathDay,9.22967E+17,neutral,0
46,MattCruse,10/24/2017 19:21,1,1,plans changed making happy death day,,,9.22966E+17,positive,0.8
47,TrainerDaxx,10/24/2017 19:21,0,4,surprised really find,,#HappyDeathDay,9.22966E+17,positive,0.15
48,balletlover_cs,10/24/2017 19:21,0,2,sola en el cine viendo happy death day como llego casa,,,9.22966E+17,positive,0.8
49,billiescult,10/24/2017 19:21,0,0,katie gonna see happy death day,,,9.22966E+17,positive,0.8
50,vinicius_minela,10/24/2017 19:20,0,0,happy death day sc,@GNC_Cinemas,,9.22966E+17,positive,0.8
51,MGVigo,10/24/2017 19:19,0,1,gonna watch happy death day friend theater used work give good tips give away free food,,,9.22966E+17,positive,0.633333333
52,aImightyem,10/24/2017 19:19,0,1,carter happy death day,,,9.22966E+17,positive,0.8
53,BradySalisbury,10/24/2017 19:19,0,1,happy death day fuego,,#HappyDeathDay,9.22966E+17,positive,0.8
54,krissysmilzes,10/24/2017 19:18,0,0,loved happy death day,,,9.22966E+17,positive,0.75
55,nataliaacrz,10/24/2017 19:18,0,0,estrenan happy death day,@Cinepolis,,9.22966E+17,positive,0.8
56,krissysmilzes,10/24/2017 19:18,0,0,finally seeing happy death day,,,9.22965E+17,positive,0.4
57,nataliaacrz,10/24/2017 19:18,0,0,cuando estrenan happy death day,,,9.22965E+17,positive,0.8
58,MariaSalaz10,10/24/2017 19:17,0,4,showing boo madea halloween happy death day drive,,,9.22965E+17,positive,0.8
59,manilaprincess_,10/24/2017 19:17,0,0,happy death day good,,,9.22965E+17,positive,0.75
60,iL_Roumi,10/24/2017 19:15,0,0,happy death day,,,9.22965E+17,positive,0.8
61,D_lakes22,10/24/2017 19:15,0,1,anyone wanna go see happy death day discount day bucks,,,9.22965E+17,positive,0.8
62,savemefrme,10/24/2017 19:15,0,1,happy death day looks,,,9.22965E+17,positive,0.8
63,yourhighnessO,10/24/2017 19:15,0,0,happy death day last good movie,,,9.22965E+17,positive,0.5
64,haleybard,10/24/2017 19:13,0,2,wanna see happy death day go,,,9.22964E+17,positive,0.8
65,Auslly12,10/24/2017 19:13,0,0,know could tell us happy death day,,,9.22964E+17,positive,0.8
66,theBeautifulGee,10/24/2017 19:12,0,0,went watch happy death day movie lastnight,,,9.22964E+17,positive,0.8
67,Caudill1999,10/24/2017 19:11,1,1,date night babyyy seeing happy death day,,,9.22964E+17,positive,0.8
68,JoeTog64,10/24/2017 19:11,0,0,saw happy death day surprisingly good comedy bit cheesy enjoyable anyway,,,9.22964E+17,positive,0.375
69,SamuelCockings,10/24/2017 19:10,0,0,saw happy death day great really enjoyed hope see love range,@jessica_rothe,,9.22964E+17,positive,0.65
70,rydeltomyell,10/24/2017 19:09,0,0,happy death day dumbest movie ever seen lmao,,,9.22963E+17,positive,0.7
71,rylandlynch,10/24/2017 19:09,269,1266,happy death day crazy yo,,,9.22963E+17,positive,0.1
72,_essellee,10/24/2017 19:08,1,0,happy death day sooooo good want watch,,,9.22963E+17,positive,0.75
73,matt_skylar,10/24/2017 19:07,0,0,love stuck mother mother stuck head since saw happy death day,,,9.22963E+17,positive,0.65
74,RyanricT,10/24/2017 19:07,0,0,happy death day,,,9.22963E+17,positive,0.8
75,turnxoverr,10/24/2017 19:05,0,1,happy death day acc good film,,,9.22962E+17,positive,0.75
76,NotLukeKuechly,10/24/2017 19:04,0,1,happy death day need amazing story amazing want fun movie stars,,,9.22962E+17,positive,0.575
77,watchnewmovies5,10/24/2017 19:04,0,0,happy death day full movie watch online hd print free download,,,9.22962E+17,positive,0.516666667
78,racinmason20,10/24/2017 19:04,0,0,gonna see happy death day thoughts,@UniversalHorror,,9.22962E+17,positive,0.8
79,AriatnaDwi,10/24/2017 19:03,0,0,satunya siapa lagi hayo,@ariatnadwi @,#happydeathday #nonton #hobby,9.22962E+17,neutral,0
80,rachelschweick,10/24/2017 19:01,0,1,hanging,,#watchingafilm #newone #happydeathday,9.22961E+17,neutral,0
81,lauren_aroha,10/24/2017 19:00,1,2,happy death day scary,,,9.22961E+17,positive,0.15
82,Giggles_2496,10/24/2017 18:59,0,0,watched happy death day,,,9.22961E+17,positive,0.8
83,MelSadity,10/24/2017 18:59,0,1,watching happy death day dying see,,,9.22961E+17,positive,0.8
84,_Blade_God,10/24/2017 18:58,0,0,watch know laugh possibly scary,,#happydeathday,9.2296E+17,negative,-0.1
85,samang0s,10/24/2017 18:57,1,0,seen happy death day worth,,,9.2296E+17,positive,0.55
86,liisisaueauk,10/24/2017 18:57,0,0,happy death day,,,9.2296E+17,positive,0.8
87,ThatBAMFGator,10/24/2017 18:56,0,12,found much better option happy death day excited finally see one favorite movies big,@jessiemaltin,,9.2296E+17,positive,0.3625
88,sIeepingboys,10/24/2017 18:56,0,3,happy death day cute n funny n scary movie im crine,,,9.2296E+17,positive,0.2625
89,Screen_Goblin,10/24/2017 18:55,0,0,unhappy happy death day review,,#HappyDeathDay,9.2296E+17,positive,0.1
90,emilysblunt,10/24/2017 18:54,1,2,anyways going heading soon see happy death day come back stanning another white shoot face,,,9.2296E+17,positive,0.266666667
91,MattJColeman42,10/24/2017 18:54,0,0,hey costume designer decided protagonist wear shirt,@UniversalHorror @dumpstaphunk @erickrasno,,9.22959E+17,neutral,0
92,giolimadas,10/24/2017 18:54,0,0,happy death day nova rj,@Kinoplex,,9.22959E+17,positive,0.8
93,WestSideMaj,10/24/2017 18:53,0,0,movies today wanna see happy death day,,,9.22959E+17,positive,0.8
94,RealDaveClarke,10/24/2017 18:53,0,0,watching happy death day,,#trakt,9.22959E+17,positive,0.8
95,MayaShangelou,10/24/2017 18:53,0,0,bouta watch happy death day,,,9.22959E+17,positive,0.8
96,leenybeeny,10/24/2017 18:53,0,0,wanna see flatliners happy death day,,,9.22959E+17,positive,0.8
97,Film_Wanderer,10/24/2017 18:52,0,0,neutral,@9,#HappyDeathDay,9.22959E+17,neutral,0
98,starnote13,10/24/2017 18:51,0,0,hey follow,@taylormomsen @UniversalHorror,,9.22959E+17,neutral,0
99,Derick_smithh,10/24/2017 18:51,2,2,wanna watch happy death day,,,9.22959E+17,positive,0.8
100,austinbucco,10/24/2017 18:51,0,1,saw happy death day last kinda mostly super fun every character,,,9.22959E+17,positive,0.358333333
101,chasmangels,10/24/2017 18:49,0,0,see happy death day finally,,,9.22958E+17,positive,0.4
102,JaycLyn15,10/24/2017 18:49,0,5,wanna see happy death day b,,,9.22958E+17,positive,0.8
103,annushka_rogers,10/24/2017 18:49,0,0,wholeheartedly recommend scared pretty fun scarring,,#happydeathday,9.22958E+17,positive,0.275
104,lavenderyugyeom,10/24/2017 18:48,0,2,pee pants happy death day,,,9.22958E+17,positive,0.8
105,KelisityAnne,10/24/2017 18:47,0,2,returned watching year,,#HappyDeathDay,9.22958E+17,neutral,0
106,groovy_mo,10/24/2017 18:47,0,3,milwaukees best deep happy death day still fucking blows,,,9.22958E+17,positive,0.3
107,TRIZIXGAMING,10/24/2017 18:45,0,0,added video playlist happy death day pewdiepie,@YouTube,,9.22957E+17,positive,0.8
108,Loulabelle7lcw,10/24/2017 18:45,0,0,happy death day,,#Today #HappyDeathDay,9.22957E+17,positive,0.8
109,matthewgumoco,10/24/2017 18:44,0,0,ha gustado un de el deja de vivir repetir tu happy death day lo lo,@YouTube,,9.22957E+17,positive,0.8
110,anothergabb,10/24/2017 18:44,0,0,happy death day buenaaa,,,9.22957E+17,positive,0.8
111,SammyJohnnx,10/24/2017 18:40,0,0,wanting go see cinema shit storyline shit ending,,#happydeathday,9.22956E+17,negative,-0.2
112,ast3arn,10/24/2017 18:40,0,0,cant find guy like carter happy death day idk wtf im gonna,,,9.22956E+17,positive,0.15
113,abimay_,10/24/2017 18:38,0,3,happy death day literally changed life,,,9.22956E+17,positive,0.8
114,AmyLaurens_,10/24/2017 18:37,0,1,happy death day finding avengers name,,,9.22955E+17,positive,0.8
115,RobIIINUFC,10/24/2017 18:37,0,0,nee saw happy death day instead today cos forgot thor today,,,9.22955E+17,positive,0.8
116,katiev1128,10/24/2017 18:37,0,1,happy death day literally good,,,9.22955E+17,positive,0.75
117,itsmelupee,10/24/2017 18:37,0,0,really want watch happy death day busy,,,9.22955E+17,positive,0.366666667
118,EDDGAWD,10/24/2017 18:36,0,2,need go watch happy death day,,,9.22955E+17,positive,0.8
119,EndlessZzzyeah,10/24/2017 18:36,0,0,happy death day top needed zero reference would classic,,,9.22955E+17,positive,0.488888889
120,colbysfringe,10/24/2017 18:36,0,0,movie happy death day,,,9.22955E+17,positive,0.8
121,mezomefans,10/24/2017 18:35,0,0,happy death day murders sorority girl repeat worth seeing toofab review,,#happy #death,9.22955E+17,positive,0.55
122,Louvienne_,10/24/2017 18:34,0,0,happy death day made jumpp,,,9.22955E+17,positive,0.8
123,starnote13,10/24/2017 18:34,0,0,takes girl subway first,,,9.22954E+17,positive,0.25
124,_RazzleDazzle,10/24/2017 18:34,0,0,happy death day,,,9.22954E+17,positive,0.8
125,starnote13,10/24/2017 18:33,0,0,least rather outstanding actress,@UniversalHorror @jessica_rothe,,9.22954E+17,positive,0.1
126,shara_dumas,10/24/2017 18:32,0,0,weekend,,,9.22954E+17,neutral,0
127,_sayitaintKay,10/24/2017 18:31,0,0,happy death day good,,,9.22954E+17,positive,0.75
128,GIRIBOYMUSIC,10/24/2017 18:31,0,1,went see happy death day actually loved,,,9.22954E+17,positive,0.75
129,dannyboicunty,10/24/2017 18:30,0,1,crazy twist wtf,,#HappyDeathDay,9.22953E+17,negative,-0.55
130,oLucasLab,10/24/2017 18:30,0,0,happy death day sp,@cinepolisbrasil,,9.22953E+17,positive,0.8
131,995TheRiver,10/24/2017 18:30,0,0,nite stops got hacks shape shifters,@onwithmario @jessica_rothe @courtneymlopez,#HappyDeathDay #Halloween,9.22953E+17,neutral,0
132,MarkJabroni,10/24/2017 18:29,0,0,taken rumble bronx checking,@ForeignerMovie @HappyDeathDay @CineplexMovies @AvalonMall @TimePlayEnt,#CineplexCity #,9.22953E+17,neutral,0
133,JuanIsNumeroUno,10/24/2017 18:26,0,1,happy death day shit,,,9.22953E+17,positive,0.3
134,fuckjayjiggy,10/24/2017 18:25,0,0,wanna go see happy death day someone,,,9.22952E+17,positive,0.8
135,jimisinatra,10/24/2017 18:24,0,0,gotta see happy death day,,,9.22952E+17,positive,0.8
136,Naticka_xoxo,10/24/2017 18:24,0,0,lol funny movie good mix horror suspense,,#happydeathday #birthdaygirl,9.22952E+17,positive,0.583333333
137,ClockOfReverse,10/24/2017 18:24,0,0,quero ir ver happy death day ou como se chama parece ser bem fixe,,,9.22952E+17,positive,0.8
138,CallMeMeir,10/24/2017 18:23,0,0,happy death day,,,9.22952E+17,positive,0.8
139,xxofaIse,10/24/2017 18:23,0,1,finally watching happy death day kinda happy waste money go see,,,9.22952E+17,positive,0.35
140,alterianinc,10/24/2017 18:23,1,5,masked killer happy death day movie thoughtful moment attacks poor tree,@creetureshow,,9.22952E+17,positive,0.266666667
141,JELLALSEBASTIAN,10/24/2017 18:23,0,0,un video de la misma vida una otra happy death day,@YouTube,,9.22952E+17,positive,0.8
142,AlejandroAlva07,10/24/2017 18:22,0,0,saw happy death day give stars,,,9.22951E+17,positive,0.8
143,LaurenIrving91,10/24/2017 18:21,0,0,happy death day better watch thought would expected,,,9.22951E+17,positive,0.4
144,pachecalice14,10/24/2017 18:19,4,0,e happy death day os filmes de terror q quero msm ver,,,9.22951E+17,positive,0.8
145,DakyrahF_,10/24/2017 18:19,0,0,happy death day damn corny,,,9.22951E+17,positive,0.8
146,cynan_davies,10/24/2017 18:19,0,0,happy death day would recommend,,,9.22951E+17,positive,0.8
147,Carneezy_,10/24/2017 18:18,0,0,watching happy death day lol tell,@baby_bree15,,9.2295E+17,positive,0.8
148,McGonadss,10/24/2017 18:17,0,2,happy death day fucking cliche short actually quite entertaining movie,,,9.2295E+17,positive,0.14
149,angejoyrt,10/24/2017 18:17,0,1,happy death day coz defense,,,9.2295E+17,positive,0.8
150,myfilm,10/24/2017 18:16,0,0,playlist happy death day playing theaters,@YouTube,,9.2295E+17,positive,0.8
151,MovieCriticFeed,10/24/2017 18:15,0,0,reviews movie happy death day new paper,,#Movie,9.2295E+17,positive,0.468181818
152,Michelleeeeee06,10/24/2017 18:14,0,0,happy death day loooot scarier,,,9.22949E+17,positive,0.8
153,FrankMalfitano,10/24/2017 18:13,0,0,film often clever sometimes silly teen horror twist day charismatic perf jessica,,#happydeathday #film,9.22949E+17,positive,0.041666667
154,ionia_theatre,10/24/2017 18:11,0,0,starts friday october ionia theatre happy death day thriller,,,9.22949E+17,positive,0.8
155,_kendrea6,10/24/2017 18:11,0,0,watching happy death day,,,9.22949E+17,positive,0.8
156,sassy__peaches,10/24/2017 18:09,0,4,happy death day pretty expecting,,,9.22948E+17,positive,0.525
157,rosscoloredboy,10/24/2017 18:09,0,0,unrealistic thing happy death day tree wearing bra,,,9.22948E+17,positive,0.15
158,TLDR_MovRev,10/24/2017 18:08,0,0,surprised good,,#HappyDeathDay #31DaysOfHorror #31daysofhalloween,9.22948E+17,positive,0.4
159,JordanGoochh,10/24/2017 18:07,0,0,see happy death day tonight,,,9.22948E+17,positive,0.8
160,RobertoCArteaga,10/24/2017 18:07,0,0,un video de el deja de vivir repetir tu happy death day lo lo,@YouTube,,9.22948E+17,positive,0.8
161,miahhdawnn,10/24/2017 18:06,0,2,happy death day sooooo gooooddd,,,9.22947E+17,positive,0.8
162,LovatoIreland,10/24/2017 18:05,0,0,started shit got actually really enjoyed,,#HappyDeathDay,9.22947E+17,positive,0.15
163,alienhames,10/24/2017 18:02,0,0,q essa q nos site pirata ainda tem happy death day eu ein eu n pago internet pra,,,9.22946E+17,positive,0.8
164,mineeeidy,10/24/2017 18:01,1,0,happy death day,,,9.22946E+17,positive,0.8
165,chloekwisz,10/24/2017 18:01,0,4,hmu u wanna go see happy death day halloween tho day,,,9.22946E+17,positive,0.8
166,ClaphamPabs,10/24/2017 18:01,0,6,omg go see happy death day funny scary loved,,,9.22946E+17,positive,0.3125
167,Luke_Blakley,10/24/2017 18:00,0,0,need go see happy death day looks way good scary movies one,,,9.22946E+17,positive,0.333333333
168,sassygirlfit,10/24/2017 18:00,0,0,video,,#reaction #happydeathday #movie #movies #laugh #laughing #rottentomatoes #trailers #scary,9.22946E+17,neutral,0
169,K_M_P,10/24/2017 17:59,0,0,happy death day actually really good imo,,,9.22946E+17,positive,0.75
170,jakegyllenhaaal,10/24/2017 17:58,0,0,happy death day,,,9.22945E+17,positive,0.8
171,0gechiii,10/24/2017 17:57,0,0,watch alone coming person hates horror everything happy death day literally scary,,,9.22945E+17,positive,0.15
172,gollum1031,10/24/2017 17:57,0,0,watching happy death day regal cinemas natomas marketplace rpx,,,9.22945E+17,positive,0.8
173,abbwhi,10/24/2017 17:55,0,3,okay happy death day good,,,9.22945E+17,positive,0.666666667
174,dsl151,10/24/2017 17:55,0,1,happy death day although nose every bit socially conscious,,#74,9.22945E+17,positive,0.45
175,JJM_Jester,10/24/2017 17:55,0,0,saw happy death day hope see horror killed,@jessica_rothe,,9.22945E+17,positive,0.3
176,wvlkingdad,10/24/2017 17:55,0,0,happy death day echt,,,9.22945E+17,positive,0.8
177,max_clement,10/24/2017 17:54,0,0,seeing happy death day hoping fun heard,,,9.22945E+17,positive,0.55
178,_angiebaby001,10/24/2017 17:53,0,0,watching happy death day,,,9.22944E+17,positive,0.8
179,Maaricontrerass,10/24/2017 17:50,0,0,happy death day mad trippi,,,9.22943E+17,positive,0.0875
180,Danny_boiiiii,10/24/2017 17:47,0,1,wanna marry girl happy death day,,,9.22943E+17,positive,0.8
181,18thBrumaire,10/24/2017 17:47,0,1,annoying promo like someone problem groundhog day lack gratuitous violence,,#HappyDeathDay,9.22943E+17,negative,-0.65
182,cinaraluana,10/24/2017 17:46,0,0,cinemark happy death day sc,,,9.22942E+17,positive,0.8
183,EQsagittarius,10/24/2017 17:45,0,1,excited see happy death day weekend,,,9.22942E+17,positive,0.5875
184,wxitwhxt,10/24/2017 17:45,0,4,loooooool happy death day okay audience made jokes luv ldn,,,9.22942E+17,positive,0.65
185,CoreyReviews,10/24/2017 17:43,0,0,halloween costume,@UniversalHorror,#HappyDeathDay #halloween #costume #Halloween2017 #horror #halloweencostume,9.22942E+17,neutral,0
186,victyeah,10/24/2017 17:42,0,1,happy death day,,#trakt,9.22941E+17,positive,0.8
187,aimspaddock,10/24/2017 17:41,0,0,happy death day shit,,,9.22941E+17,positive,0.3
188,80lbMedia,10/24/2017 17:40,2,1,could via,@80lbMedia @dailymotion,#HappyDeathDay,9.22941E+17,neutral,0
189,Chellybean0720,10/24/2017 17:40,0,0,going see happy death day see good bad movie,@jmenchions,,9.22941E+17,positive,0.266666667
190,malibu_mali,10/24/2017 17:40,0,0,happy death day good,,,9.22941E+17,positive,0.75
191,jamiaaa___,10/24/2017 17:40,0,0,happy death day believe killing,,,9.22941E+17,positive,0.8
192,mangojuicequeen,10/24/2017 17:39,0,0,wanna see happy death day,,,9.22941E+17,positive,0.8
193,MovieMarker,10/24/2017 17:39,0,0,showing happy death day,,,9.22941E+17,positive,0.8
194,GtrixsYT,10/24/2017 17:37,0,0,happy death day watched pretty good,,,9.2294E+17,positive,0.583333333
195,fuckoffbeth,10/24/2017 17:37,0,0,dan said would delete friend went see happy death day without wants go see,,,9.2294E+17,positive,0.5
196,80lbGorilla,10/24/2017 17:36,0,0,think movie maybe wanted something,@creetureshow,#HappyDeathDay,9.2294E+17,neutral,0
197,flickeringflxme,10/24/2017 17:35,0,2,really enjoyed happy death day great film,,,9.2294E+17,positive,0.7
198,erickacaballes,10/24/2017 17:35,0,1,nindotan kos tanan jay hehe bad happy death day ug foreigner guro ko personally kamustang bad enjoy,,,9.2294E+17,negative,-0.04
199,_Anarchist_Cxnt,10/24/2017 17:34,0,1,happy death day amazing film,,#happydeathday #HappyDeathDayMovie,9.22939E+17,positive,0.7
200,liv_singer,10/24/2017 17:32,0,0,recommend happy death day worst film ever seen,,,9.22939E+17,negative,-0.1
201,Milez_xo,10/24/2017 17:32,0,0,happy death day review via,@YouTube,,9.22939E+17,positive,0.8
202,ddee_413,10/24/2017 17:31,0,0,well happy death day pretty alot suspense thrill anddd weird love type movies,,,9.22939E+17,positive,0.2625
203,JeezlouiseMegan,10/24/2017 17:31,0,0,happy death day,,,9.22939E+17,positive,0.8
204,WlTCHHUNTS,10/24/2017 17:30,0,1,happy death day looks shit oh gd,,,9.22938E+17,positive,0.3
205,Karen27_x,10/24/2017 17:30,0,0,happy death day pretty liked anyway,,,9.22938E+17,positive,0.55
206,HeyyJefff,10/24/2017 17:29,0,0,happy death day live many people dissed joint,,,9.22938E+17,positive,0.478787879
207,miracle_merari,10/24/2017 17:28,0,0,gonna see happy death day,,,9.22938E+17,positive,0.8
208,TheBoxOfficeGuy,10/24/2017 17:27,0,0,monday,,#Madea #Geostorm #BladeRunner #HappyDeathDay #OnlytheBrave #Foreigner #AmericanMade,9.22938E+17,neutral,0
209,philiplickley,10/24/2017 17:27,0,0,film happy death day groundhog day horror movie unlikeable characters turn sweet love story,,#Philms2017,9.22938E+17,positive,0.55
210,tomesandtv,10/24/2017 17:25,0,0,saw happy death day fandango made us reserve specific good thing bought daughter top,,,9.22937E+17,positive,0.5
211,Milez_xo,10/24/2017 17:24,0,0,added video playlist happy death day review,@YouTube,,9.22937E+17,positive,0.8
212,realKevv_,10/24/2017 17:24,0,0,want see happy death day,,,9.22937E+17,positive,0.8
213,kendra_sturgeon,10/24/2017 17:23,0,1,happy death day,,,9.22937E+17,positive,0.8
214,ryan__yoder,10/24/2017 17:22,0,3,fact happy death day actually play go ya movie adds trust,,,9.22936E+17,positive,0.4
215,__Nathan,10/24/2017 17:21,0,1,really enjoyed along happy death day made barmy fun,,,9.22936E+17,positive,0.533333333
216,BigGlasgowComic,10/24/2017 17:21,0,0,awwww happy death day fresh modern horror,@ScottyLobdell,,9.22936E+17,positive,0.45
217,whoaxcourrrtney,10/24/2017 17:21,0,1,happy death day good movie,,,9.22936E+17,positive,0.75
218,xSamRiordan,10/24/2017 17:19,0,0,happy death day,,,9.22936E+17,positive,0.8
219,RobMeer,10/24/2017 17:19,0,0,top filmbezoek op maandag oktober,@Pathe @GeostormMovie @IMAX,#Pathe #Spuimarkt #HappyDeathDay #AmericanAssasin,9.22936E+17,positive,0.5
220,Yatzelys,10/24/2017 17:17,0,0,neutral,,#HappyDeathDay,9.22935E+17,neutral,0
221,Tattude4Life,10/24/2017 17:16,0,0,talked watching happy death day regal cinemas peoples plaza,,,9.22935E+17,positive,0.8
222,ImiDarcyy,10/24/2017 17:15,0,2,friend going date guy see happy death day hope knows letting,,,9.22935E+17,positive,0.8
223,ChloeeMac_,10/24/2017 17:14,0,1,naw pure need go see happy death day pronto x,,,9.22934E+17,positive,0.507142857
224,ssophx__,10/24/2017 17:14,0,0,got back watching happy death day friend milly meme queen bei odeon cinema,,,9.22934E+17,positive,0.4
225,CadeCjw2440,10/24/2017 17:13,0,0,watching happy death day,,,9.22934E+17,positive,0.8
226,JayOliver92,10/24/2017 17:12,0,0,happy death day hilarious,,,9.22934E+17,positive,0.65
227,misscpsx,10/24/2017 17:11,0,1,happy death day probably one worst films pile shite,,,9.22934E+17,negative,-0.1
228,veyekiyoj,10/24/2017 17:11,0,0,happy death day,,,9.22934E+17,positive,0.8
229,rfbooth,10/24/2017 17:10,0,0,happy death day somewhere mean slasher groundhog perfectly judged utterly,,#f17,9.22933E+17,positive,0.371875
230,AshleyDrfc11,10/24/2017 17:10,0,0,happy death day chick flick horror movie tbh,,,9.22933E+17,positive,0.8
231,JakeE_Robinson,10/24/2017 17:08,0,0,loved seeing happy death day today,,,9.22933E+17,positive,0.75
232,jaehyungiggles,10/24/2017 17:08,0,0,cousin making watch happy death day die,,,9.22933E+17,positive,0.8
233,ashley_pell,10/24/2017 17:07,0,1,even get previews movie comes,,#happydeathday,9.22933E+17,neutral,0
234,angelatnle,10/24/2017 17:07,0,1,went work watch happy death day gap night class xd,,,9.22933E+17,positive,0.8
235,MagicBeliever93,10/24/2017 17:06,0,1,happy death day saw film saturday love everyone go see,,,9.22932E+17,positive,0.65
236,SIFIINFECTION,10/24/2017 17:06,0,0,neutral,,#HAPPYDEATHDAY # #LALALAND # #SIFI,9.22932E+17,neutral,0
237,AnyaRebke,10/24/2017 17:06,0,4,watching happy death day givin anxiety,,,9.22932E+17,positive,0.8
