Unnamed: 0,username,date,retweets,favorites,text,mentions,hashtags,id,Compound_Score,Negative_Score,Positive_Score,Neutral_Score,polarity
31,kennan5,2017-10-22 19:43,0,2,trynna see happy death day,,,922247125852983296,-0.0516,0.368,0.349,0.283,Neg
32,IlIIlIIIIlIlllI,2017-10-22 19:43,0,0,neutral,,#happydeathday,922247116252176384,0.0,0.0,0.0,1.0,Neu
33,hennesvy,2017-10-22 19:43,0,0,happy death day aiiight,,,922246968113590274,-0.0516,0.406,0.385,0.208,Neg
34,RichardBSpencer,2017-10-22 19:41,0,22,happy death day,,,922246560431398912,-0.0516,0.453,0.43,0.116,Neg
35,ChurchMakayla,2017-10-22 19:40,0,9,trying see happy death day still yet never made see,,,922246370127417344,-0.0516,0.25,0.237,0.513,Neu
36,hotgorgbabe,2017-10-22 19:38,0,1,actually really wanna go see happy death day,,,922245927095676928,-0.0516,0.287,0.272,0.441,Neu
37,ayyyyyyylin,2017-10-22 19:38,0,0,wanna go watch happy death day,,,922245767321939968,-0.0516,0.336,0.319,0.345,Neu
38,RosaRefined,2017-10-22 19:37,0,1,saw happy death day surprisingly good,,,922245656676306944,0.5994,0.265,0.599,0.136,Pos
39,SamChelsHal,2017-10-22 19:37,0,0,happy death day,,,922245649713762306,-0.0516,0.453,0.43,0.116,Neg
40,MadelIne002243,2017-10-22 19:37,0,2,recommend seeing happy death day even scary rlly,,,922245638846402562,-0.2263,0.41,0.358,0.231,Neg
41,GuuDantas_,2017-10-22 19:37,0,0,de cinema happy death day sp,@itaucinemas,,922245503173251075,-0.0516,0.336,0.319,0.345,Neu
42,NishJustFINE,2017-10-22 19:36,0,0,still wanna see happy death day,,,922245425427615745,-0.0516,0.336,0.319,0.345,Neu
43,JayceeWalcott,2017-10-22 19:36,3,8,wanna see happy death day,,,922245364605997057,-0.0516,0.368,0.349,0.283,Neg
44,tessaerikson,2017-10-22 19:36,0,1,dare watch happy death day get stupid ring tone stuck head,,,922245325099634689,-0.6808,0.465,0.185,0.35,Neg
45,modernsehun,2017-10-22 19:35,0,1,wanna see happy death day looks promising dark comedy horror,,,922245108283727873,0.0772,0.353,0.414,0.233,Pos
46,diamonddmonae,2017-10-22 19:35,0,0,happy death day good,,,922245076302082048,0.4019,0.339,0.574,0.087,Pos
47,tittybars,2017-10-22 19:34,0,2,happy death day corny af,,,922244825281454080,-0.0516,0.368,0.349,0.283,Neg
48,CrushesAndBlah,2017-10-22 19:33,0,0,happy death day scary demi lovato started singing,,,922244656804614144,-0.5267,0.449,0.234,0.316,Neg
49,LombeBNgandu,2017-10-22 19:33,0,0,watched happy death day jessica rothe israel great,,#HappyDeathDay #JessicaRothe,922244490689175554,0.5994,0.234,0.467,0.299,Pos
50,_NIEVES___,2017-10-22 19:32,0,0,happy death day,,,922244424389877760,-0.0516,0.453,0.43,0.116,Neg
51,sidiq_plantmana,2017-10-22 19:31,0,0,happy death day,,,922244161591427072,-0.0516,0.453,0.43,0.116,Neg
52,haydenterrell,2017-10-22 19:31,1,6,happy death day worth,,,922244000861564928,0.1779,0.371,0.533,0.095,Pos
53,La_Gabby14,2017-10-22 19:31,0,1,go watch happy death day bc bro wants watch hope good,,,922243971790884864,0.6808,0.191,0.466,0.343,Pos
54,JessTrouper,2017-10-22 19:31,0,4,funny scary brilliant acting comic timing,@jessica_rothe,#HappyDeathDay #Horrorfilm,922243934314745856,0.5423,0.248,0.519,0.233,Pos
55,AkiThomas1,2017-10-22 19:30,0,0,happy death day,,,922243735928352769,-0.0516,0.453,0.43,0.116,Neg
56,isanoriega98,2017-10-22 19:30,0,0,quiero ver happy death day ooorita,,,922243722783236098,-0.0516,0.336,0.319,0.345,Neu
57,THE_BIGFAT27,2017-10-22 19:29,0,0,acabo de ver el trailer de happy death day se buena vamos,,,922243584211980289,-0.0516,0.222,0.21,0.568,Neu
58,alwyzaprill,2017-10-22 19:28,0,0,went saw happy death day happens pop big,@adoublefresh,,922243374924607488,-0.0516,0.287,0.272,0.441,Neu
59,izzyBe111a,2017-10-22 19:28,0,0,saw happy death day,,,922243326459256832,-0.0516,0.406,0.385,0.208,Neg
60,ifsanvers,2017-10-22 19:27,0,0,happy death day muito bom,,,922243136428167170,-0.0516,0.368,0.349,0.283,Neg
61,FullMovieInHere,2017-10-22 19:25,0,0,watch happy death day full movie download,,,922242553503559682,-0.0516,0.31,0.294,0.397,Neu
62,juanmadpelicula,2017-10-22 19:25,4,7,thoroughly enjoyed even though knew killer midway lots,,#HappyDeathDay,922242424835059712,-0.1796,0.31,0.259,0.432,Neu
63,hacaplus,2017-10-22 19:24,0,0,happy death day real good,,,922242324071006208,0.4019,0.312,0.528,0.16,Pos
64,__brittbee,2017-10-22 19:24,0,0,say happy death day good,,,922242171847217152,0.4019,0.312,0.528,0.16,Pos
65,Anrcampbell,2017-10-22 19:22,0,0,happy death day solid horror comedy great lead despite obvious red herring,,#DLMChallenge,922241871811956737,0.5106,0.298,0.467,0.235,Pos
66,joestreet18,2017-10-22 19:22,1,2,managed fit trip cinema tonight good little,,#34 #HappyDeathDay #100FilmsIn100Days,922241858532773888,0.6597,0.0,0.519,0.481,Pos
67,Reine_Kat,2017-10-22 19:22,0,3,someone go watch happy death day,,,922241656644161536,-0.0516,0.336,0.319,0.345,Neu
68,lexashaee_,2017-10-22 19:21,2,14,wants watch happy death day,,,922241540889763842,-0.0516,0.368,0.349,0.283,Neg
69,GabbyGarlow_xo,2017-10-22 19:21,1,1,brooklyn ppl seeing happy death day n realized sunday,,,922241463269851136,-0.0516,0.287,0.272,0.441,Neu
70,owen_figueroa,2017-10-22 19:20,0,1,happy death day es tremenda mierda de,,,922241265789493248,-0.0516,0.31,0.294,0.397,Neu
71,WrittenMess,2017-10-22 19:20,0,1,even bad like actually would kind recommend,,#happydeathday #HorrorMovies,922241231194910722,0.5994,0.235,0.564,0.201,Pos
72,eeniguess,2017-10-22 19:20,0,9,hi gays happy death day delightful,,,922241216661553153,0.5574,0.271,0.521,0.208,Pos
73,CINEMANIA_ID,2017-10-22 19:19,1,1,movie vote skor top atau vote sekarang,,#HappyDeathDay,922241082892599296,0.2023,0.0,0.231,0.769,Neu
74,puchoa19,2017-10-22 19:19,0,0,happy death day um filme que tem que mas bom e mais que um de leva,,#PMDb,922240931931312128,-0.0516,0.189,0.18,0.631,Neu
75,youngdanny3dp,2017-10-22 19:18,0,0,happy death day anyone,,,922240891175165952,-0.0516,0.406,0.385,0.208,Neg
76,stellalsmith,2017-10-22 19:18,0,0,seen go see funny fun jump great,,#HappyDeathDay #halloween,922240714817327107,0.8834,0.0,0.72,0.28,Pos
77,AntoMcG,2017-10-22 19:18,0,0,happy death day great fun takes hard right soppy melodrama,,,922240693384466433,0.7783,0.248,0.519,0.234,Pos
78,nicomelz,2017-10-22 19:18,0,0,happy death day,,,922240652452261890,-0.0516,0.453,0.43,0.116,Neg
79,stellalsmith,2017-10-22 19:16,0,0,today first day rest,@UniversalHorror,#funny #happydeathday,922240225170075649,0.0,0.0,0.0,1.0,Neu
80,la_nalaj,2017-10-22 19:16,0,0,wanna go watch happy death day,,,922240188285378560,-0.0516,0.336,0.319,0.345,Neu
81,B2Blackbird,2017-10-22 19:15,0,0,happy death day,,,922240044215218176,-0.0516,0.453,0.43,0.116,Neg
82,stellalsmith,2017-10-22 19:15,0,0,loved finally chance see great figure killer many choices,@UniversalHorror,#happydeathday,922239895321620481,0.6908,0.223,0.518,0.259,Pos
83,syzamn,2017-10-22 19:13,0,0,phobia cupcake since happy death day,,,922239584884289541,-0.4215,0.492,0.28,0.227,Neg
84,Twin_nicki,2017-10-22 19:13,0,0,happy death day,,,922239466688958465,-0.0516,0.453,0.43,0.116,Neg
85,mendesueueu,2017-10-22 19:13,0,0,happy death day,,,922239459046952961,-0.0516,0.453,0.43,0.116,Neg
86,OJSimpson96,2017-10-22 19:12,0,1,happy death day decent movie tbf haha,,,922239307670269952,0.4215,0.267,0.459,0.274,Pos
87,TrinityFireist,2017-10-22 19:12,0,0,happy death day good also,,,922239213898051584,0.4019,0.312,0.528,0.16,Pos
88,__mara_xoxo__,2017-10-22 19:11,1,4,hmu u want date pumpkin patches happy death day,,,922238987376386048,0.0258,0.281,0.36,0.36,Neu
89,MissNell77,2017-10-22 19:10,0,0,dinner movie watching happy death day,,,922238863174664192,-0.0516,0.336,0.319,0.345,Neu
90,blushhansol,2017-10-22 19:10,0,0,watched happy death day worth hype,,,922238831645966336,0.1779,0.312,0.448,0.24,Pos
91,ToastCrust,2017-10-22 19:10,0,1,yeah happy death day great time,,,922238811345600512,0.7269,0.245,0.629,0.126,Pos
92,leahlightfoott,2017-10-22 19:10,11,5,wanna go see happy death day sooo bad,,,922238777007001601,-0.5719,0.46,0.23,0.311,Neg
93,TheFlyingNabi,2017-10-22 19:10,0,0,wanna watch bad genius happy death day,,,922238696526508032,-0.5719,0.49,0.245,0.265,Neg
94,crazyackleholic,2017-10-22 19:09,0,0,happy death day,,,922238550707490817,-0.0516,0.453,0.43,0.116,Neg
95,isaac__88,2017-10-22 19:08,0,1,tryna go see happy death day,,,922238377339920385,-0.0516,0.336,0.319,0.345,Neu
96,castieIkrushnic,2017-10-22 19:08,0,0,snowman happy death day help,,,922238277113057281,0.3612,0.317,0.52,0.163,Pos
97,Malihaha_a,2017-10-22 19:08,0,0,really want watch happy death day,,,922238181482860544,0.1672,0.313,0.446,0.241,Pos
98,mariellooooo,2017-10-22 19:07,0,0,happy death day ok,,,922238097043181573,0.25,0.361,0.546,0.093,Pos
99,ociu_,2017-10-22 19:07,0,0,anyone link happy death day,,,922237973336395776,-0.0516,0.368,0.349,0.283,Neg
100,swardplay,2017-10-22 19:06,0,0,take look happy death day,@concreteplay,,922237686638772224,-0.0516,0.368,0.349,0.283,Neg
101,ValerieAWillia2,2017-10-22 19:04,0,1,movies watching happy death day,,,922237372074426368,-0.0516,0.368,0.349,0.283,Neg
102,BryanBHopkins1,2017-10-22 19:01,0,0,well according lady movie trailer done saw happy death day told trailer better,,,922236570614358016,0.5859,0.181,0.403,0.417,Neu
103,frreddy_,2017-10-22 19:01,0,0,wants go watch happy death day,,,922236473033625600,-0.0516,0.336,0.319,0.345,Neu
104,CassieisAllred,2017-10-22 19:00,0,3,get movie pass weekend hmu ya wanna see happy death day blade runner,,,922236336781832193,-0.0516,0.21,0.199,0.591,Neu
105,_babygirlg_,2017-10-22 19:00,0,0,finally seeing happy death day,,,922236310659756037,-0.0516,0.368,0.349,0.283,Neg
106,HEYSlSTER,2017-10-22 19:00,0,0,happy death day good,,,922236229885628418,0.4019,0.339,0.574,0.087,Pos
107,_JKinnehan10_,2017-10-22 19:00,0,0,happy death day looks like crazy shit,,,922236143562784769,-0.5719,0.547,0.343,0.11,Neg
108,4evaaq,2017-10-22 18:59,0,0,finally watching happy death day,,,922236094879600640,-0.0516,0.368,0.349,0.283,Neg
109,_jordan_np,2017-10-22 18:59,1,3,watch happy death day hate,,,922236050541613058,-0.5994,0.571,0.278,0.15,Neg
110,KellyKnight_5,2017-10-22 18:59,0,0,saw happy death day,,,922235901555757056,-0.0516,0.406,0.385,0.208,Neg
111,MandyLouStu,2017-10-22 18:58,0,0,plan see bedtime rolls around forgotten,,#HappyDeathDay,922235810048552960,-0.2263,0.275,0.0,0.725,Neu
112,itsjessiejane,2017-10-22 18:58,0,4,happy death day good film omg,,,922235737671634944,0.4019,0.289,0.489,0.222,Pos
113,CarlWhiteEntry,2017-10-22 18:58,0,0,enter,@FilmsOfChucky @http @UniversalHorror,#WIN #CultOfChucky #Blu #DVD #Sweepstakes #FREE #Chucky #Horror #Movies,922235657640136704,0.0,0.0,0.0,1.0,Neu
114,messyymerrell,2017-10-22 18:57,0,1,happy death day good movie way better trailer recommend,,,922235603885928450,0.7964,0.196,0.603,0.201,Pos
115,SoulHighh,2017-10-22 18:57,0,0,btw crummy killer random killer explain kept reliving actual,,#HappyDeathDay,922235506515152896,-0.8625,0.551,0.0,0.449,Neg
116,sliders007,2017-10-22 18:57,0,0,tyler boo madea halloween geostorm happy death day,,,922235468275691520,-0.0516,0.287,0.272,0.441,Neu
117,HUGOverified,2017-10-22 18:57,0,0,happy death day useless waste seeing,,#InOtherNews,922235433664335872,-0.7003,0.625,0.243,0.132,Neg
118,briie_x,2017-10-22 18:56,0,0,want see happy death day new jigsaw,,,922235349484687360,0.0258,0.302,0.388,0.31,Pos
119,jlykiwi,2017-10-22 18:56,0,0,saw happy death day good,,,922235283214622720,0.4019,0.312,0.528,0.16,Pos
120,lykaancheta18,2017-10-22 18:56,0,4,gipatay daw ko pero buhi daw japun happy death day ataya dream oy,,,922235124296462337,0.2023,0.199,0.291,0.51,Neu
121,al7erzy,2017-10-22 18:54,0,0,would lie happy death day scary filled jump scares,,,922234818175356933,-0.7003,0.522,0.203,0.275,Neg
122,ONEandONLYJNICE,2017-10-22 18:54,0,0,relive day kind start see really,,#HappyDeathDay #TodayIsTheFirstDayOfTheRestOfYourLife,922234780590190592,0.5267,0.0,0.405,0.595,Neu
123,laurinahx5h,2017-10-22 18:54,0,1,uhm happy death day,,,922234764534226944,-0.0516,0.406,0.385,0.208,Neg
124,Yareliiz_112,2017-10-22 18:51,2,0,pa que happy death day buena,,,922234104669790208,-0.0516,0.336,0.319,0.345,Neu
125,niccoleelainn,2017-10-22 18:51,0,0,happy death day good movie,,,922234045882302465,0.4019,0.312,0.528,0.16,Pos
126,KaeleeTomlinson,2017-10-22 18:49,0,0,great cin mum big fat baked seen fav n cheeky trip cinema see xx,,#HappyDeathDay,922233559947071488,0.7964,0.0,0.392,0.608,Neu
127,whyuyelling,2017-10-22 18:49,0,1,giving happy death day feels,,,922233428896083968,0.296,0.325,0.508,0.167,Pos
128,jme_moo,2017-10-22 18:48,0,0,happy death day,,,922233268145131521,-0.0516,0.453,0.43,0.116,Neg
129,softestvocaI,2017-10-22 18:48,0,1,watching happy death day friends later wooot,,,922233252760322048,0.4404,0.265,0.463,0.272,Pos
130,gloSZN,2017-10-22 18:48,0,1,saw happy death day pretty sure u would like mystery thriller lowkey,@holyscum,,922233140575338496,0.802,0.177,0.595,0.227,Pos
131,Giuli306,2017-10-22 18:46,0,0,quiero ir ver happy death day le estoy agarrando el gusto las de terror,,,922232798928306176,-0.5574,0.332,0.168,0.5,Neu
132,PatiGreen,2017-10-22 18:46,1,0,actually much better love decent plot,,#HappyDeathDay,922232768158978048,0.7964,0.0,0.64,0.36,Pos
133,melodramatiiic,2017-10-22 18:46,0,0,happy death day,,,922232749389357056,-0.0516,0.453,0.43,0.116,Neg
134,RadioPepperPrep,2017-10-22 18:45,0,0,weekend box office boo madea halloween million geostorm million happy death day million,,,922232491074662401,-0.0516,0.21,0.199,0.591,Neu
135,Dan_Baynham95,2017-10-22 18:44,0,0,saw movie say loved character,@israelbroussard,#HappyDeathDay,922232322686111744,0.5994,0.0,0.494,0.506,Neu
136,brookesuz,2017-10-22 18:43,1,5,happy death day awful,,,922231860675121152,-0.4939,0.595,0.319,0.086,Neg
137,maecirae,2017-10-22 18:43,0,1,happy death day good,,,922231849325342720,0.4019,0.339,0.574,0.087,Pos
138,SkylerKatieOck,2017-10-22 18:42,0,1,kinda wanna go see happy death day,,,922231828332806145,-0.0516,0.31,0.294,0.397,Neu
139,thebettyneptune,2017-10-22 18:41,0,1,never thought describe horror movie happy death day definitely,,,922231409057689600,0.6703,0.213,0.514,0.273,Pos
140,Tristin_z33,2017-10-22 18:40,0,0,hasnt seen happy death day wants,,,922231269102010369,0.0382,0.296,0.31,0.394,Neu
141,loulou_chelsea,2017-10-22 18:40,1,1,happy death day surprisingly good,,,922231216040013824,0.5994,0.285,0.642,0.073,Pos
142,soundjam69,2017-10-22 18:39,0,1,saw happy death day,,,922231014566502401,-0.0516,0.406,0.385,0.208,Neg
143,bossladyy_liyah,2017-10-22 18:39,0,0,really wanna go movies see happy death day,,,922230979263164416,-0.0516,0.287,0.272,0.441,Neu
144,bverIymarsh,2017-10-22 18:39,0,9,seeing happy death day finally,,,922230960573202432,-0.0516,0.368,0.349,0.283,Neg
145,XXXMEEZY,2017-10-22 18:39,0,3,anyone wanna go still tryna see happy death day,,,922230893414150144,-0.0516,0.267,0.253,0.479,Neu
146,Highoffsyd,2017-10-22 18:38,1,0,really disappointed lied said happy death day good,,,922230795623858177,-0.5531,0.514,0.334,0.152,Neg
147,strapdaddy,2017-10-22 18:38,0,0,trying decide wat watch geostorm happy death day,,,922230648085106688,-0.0516,0.287,0.272,0.441,Neu
148,Spence_s1001,2017-10-22 18:38,0,0,saw happy death day almost considered walking theater within first,,,922230632222146560,-0.0516,0.25,0.237,0.513,Neu
149,amyjean_3,2017-10-22 18:37,0,2,anybody tryna go see happy death day leaves theaters lmk,,,922230558205403136,-0.0516,0.25,0.237,0.513,Neu
150,brileydennison,2017-10-22 18:37,0,3,someone go see happy death day,,,922230376252231680,-0.0516,0.336,0.319,0.345,Neu
151,supceli,2017-10-22 18:36,0,3,want watch happy death day,,,922230319561900034,0.0258,0.358,0.459,0.183,Pos
152,mp3ecouter,2017-10-22 18:35,0,0,happy death day movie number movie today inspired,,,922230016129236992,0.5106,0.242,0.509,0.248,Pos
153,madine3,2017-10-22 18:35,0,0,happy death day movie number movie today inspired,,,922229856754118656,0.5106,0.242,0.509,0.248,Pos
154,eclecticreason,2017-10-22 18:34,1,4,tragedy girls happy death day always back wrong,@FacultyofHorror,,922229742853545985,-0.8271,0.597,0.194,0.209,Neg
155,ScarlettMi,2017-10-22 18:34,0,2,pleasantly surprised happy death day actually fun groundhog murder,,,922229701606760448,0.34,0.364,0.508,0.127,Pos
156,CampfireSauce,2017-10-22 18:33,0,1,happy death day ok,,,922229575031119874,0.25,0.361,0.546,0.093,Pos
157,JHYPESWHORE,2017-10-22 18:33,0,1,hmm think baby person happy death day,,,922229388019580928,-0.0516,0.31,0.294,0.397,Neu
158,large_pizza_org,2017-10-22 18:32,0,0,death latest project masterminded production company blumhouse,,#HAPPY,922229115675119616,-0.5994,0.394,0.0,0.606,Neu
159,barryjanoff,2017-10-22 18:31,0,0,via worldwide,@Comscore,#Boo2 #Geostorm #happydeathday #BladeRunner2049 #Kingsman #movies,922228830386913281,0.0,0.0,0.0,1.0,Neu
160,SherieDolan1628,2017-10-22 18:30,0,0,watched happy death day seen recommend pretty,,,922228656969256960,0.6705,0.239,0.577,0.184,Pos
161,lozzaboi,2017-10-22 18:29,0,1,happy death day good horror,@kimmikillzombie,#HappyDeathDay,922228553806176256,-0.25,0.5,0.434,0.066,Neg
162,LargePizzaOrg,2017-10-22 18:28,0,0,death latest project masterminded production company blumhouse,,#HAPPY,922228208946372608,-0.5994,0.394,0.0,0.606,Neu
163,QuinnTietz,2017-10-22 18:27,0,3,happy death day good movie,,,922228052343574528,0.4019,0.312,0.528,0.16,Pos
164,hintz_savannah,2017-10-22 18:27,0,0,saw happy death day ok,,#iblameCarter,922227869752942592,0.25,0.331,0.5,0.169,Pos
165,LukeRandall96,2017-10-22 18:26,0,0,happy death day west,,,922227750483759104,-0.0516,0.406,0.385,0.208,Neg
166,FeedOnYourFear,2017-10-22 18:26,0,0,saw awesome movie going look cupcakes,,#HappyDeathDay,922227702584639488,0.6249,0.0,0.451,0.549,Neu
167,_ana98maria,2017-10-22 18:26,1,1,everyone told happy death day good hyped lame shit,,,922227584997429249,-0.5719,0.493,0.316,0.191,Neg
168,juliiannanicole,2017-10-22 18:26,5,7,wanna go see happy death day,,,922227576277364736,-0.0516,0.336,0.319,0.345,Neu
169,emir11a,2017-10-22 18:25,1,0,quiero ver happy death day,,,922227476658577409,-0.0516,0.368,0.349,0.283,Neg
170,KMHUG,2017-10-22 18:25,2,8,happy death day,,,922227416499617793,-0.0516,0.453,0.43,0.116,Neg
171,PDXEscapeRooms,2017-10-22 18:24,0,0,first time escapees could escape,,#happydeathday #portlandescaperooms,922227217521872899,0.1779,0.0,0.298,0.702,Neu
172,sianpowell325,2017-10-22 18:24,0,0,slasher film highly entertaining way end weekend,,#HappyDeathDay,922227193488519173,0.4927,0.0,0.347,0.653,Neu
173,pizzaorg,2017-10-22 18:23,0,0,death latest project masterminded production company blumhouse,,#HAPPY,922227039029071872,-0.5994,0.394,0.0,0.606,Neu
174,Chriscampo03,2017-10-22 18:23,0,0,like movies play opening logo happy death day funny universal logo,,,922226978677248001,0.765,0.182,0.537,0.28,Pos
175,Blendasopjani12,2017-10-22 18:23,0,0,time movie happy death day start metrotown burnaby bc,,,922226972255645697,-0.0516,0.267,0.253,0.479,Neu
176,_HarryBreese,2017-10-22 18:23,0,0,happy death day,@jessica_rothe,,922226960511766529,-0.0516,0.453,0.43,0.116,Neg
177,AdonisGarcia13,2017-10-22 18:23,0,0,anyone seen happy death day,,,922226941796732929,-0.0516,0.368,0.349,0.283,Neg
178,azarogers2,2017-10-22 18:22,0,0,happy death day decent,,,922226779611377664,-0.0516,0.406,0.385,0.208,Neg
179,natts,2017-10-22 18:22,0,1,groundhog happy death day greater,@Cineworld,,922226718697455616,0.3182,0.322,0.512,0.165,Pos
180,Daysatthecinema,2017-10-22 18:20,0,0,entertaining mix,,#HAppyDeathDay #GroundhogDay #horror #film #movies #cinema #jessicarothe,922226302102462464,0.4404,0.0,0.744,0.256,Pos
181,Notorious_Glen,2017-10-22 18:20,0,0,wanna see happy death day,,,922226253670862849,-0.0516,0.368,0.349,0.283,Neg
182,xoAnnie94,2017-10-22 18:19,0,4,seen happy death day go check movie america see big,,#1,922226053032026112,-0.0516,0.25,0.237,0.513,Neu
183,LucPestille,2017-10-22 18:19,0,1,happy death day bit groundhog things see,,,922225999575699456,-0.0516,0.31,0.294,0.397,Neu
184,SilverFox0916,2017-10-22 18:19,0,1,think gone something jolly like happy death day,,,922225997344378880,0.6808,0.224,0.546,0.23,Pos
185,susana__Isabel,2017-10-22 18:19,0,0,sweet dreams,,#happydeathday #creepy,922225883758452741,0.6908,0.0,1.0,0.0,Pos
186,angxla17,2017-10-22 18:19,0,0,happy death day,,,922225802653007873,-0.0516,0.453,0.43,0.116,Neg
187,yugbamsbby,2017-10-22 18:18,0,3,happy death day horrible folks save money,,,922225760345251842,-0.128,0.428,0.399,0.173,Neg
188,DanielleLucyxo,2017-10-22 18:18,1,3,happy death day amazing,,,922225715818516480,0.5574,0.315,0.605,0.081,Pos
189,okayangel__,2017-10-22 18:18,0,0,happy death day,,,922225598629662721,-0.0516,0.453,0.43,0.116,Neg
190,ZacharyNicolos,2017-10-22 18:16,0,3,angel cancelled hanging today ima hang mah sister finna go red lobster see happy death day yes god,,,922225107367444480,0.3818,0.215,0.31,0.474,Neu
191,genglish3411,2017-10-22 18:14,0,10,highly recommend watching happy death day,,,922224765057884160,0.4323,0.286,0.495,0.22,Pos
192,fatscoleman,2017-10-22 18:14,0,1,film happy death day ton fun messing slasher time loop ultimately much meat,,#31DaysOfHorror,922224746477039616,0.4767,0.187,0.335,0.478,Neu
193,natlisearp,2017-10-22 18:12,0,0,thank really loved thank thank thank,@UniversalHorror @jessica_rothe @israelbroussard,#HappyDeathDay,922224282079461376,0.9216,0.0,0.934,0.066,Pos
194,FLCL_rox,2017-10-22 18:12,0,0,saw might benefitted going full r rated still fun flick maybe better final,,#happydeathday,922224267399454720,0.836,0.0,0.497,0.503,Neu
