Unnamed: 0,username,date,retweets,favorites,text,mentions,hashtags,id,Compound_Score,Negative_Score,Positive_Score,Neutral_Score,polarity
26,kobeereynolds,2017-10-24 19:42,0,0,watching happy death day anxiety,,,922971600865124353,-0.2263,0.496,0.327,0.177,Neg
27,ukrainiangirlx,2017-10-24 19:40,0,0,usually scared horror movies looks funnier scarier,,#happydeathday,922971130331312128,-0.5994,0.496,0.203,0.301,Neg
28,RyanricT,2017-10-24 19:40,0,0,happy death day absolutely tense surprisingly excellent,@UniversalHorror,,922971005563359233,0.5498,0.352,0.541,0.107,Pos
29,atjogialove,2017-10-24 19:39,0,0,happy death day better time marshall,,,922970938416574465,0.4019,0.289,0.489,0.222,Pos
30,aprilxobieber,2017-10-24 19:38,0,0,happy death day pretty good killer ending disappointing,,,922970476959420417,-0.3818,0.491,0.422,0.086,Neg
31,Gazray,2017-10-24 19:37,0,0,excellent,,#happydeathday,922970431191175168,0.5719,0.0,1.0,0.0,Pos
32,mxmory,2017-10-24 19:37,0,1,happy death day receives,@TRU5TT,,922970399876505601,-0.0516,0.406,0.385,0.208,Neg
33,goldthirst,2017-10-24 19:35,4,1,bruh still seen happy death day,,,922969783473262593,-0.0516,0.336,0.319,0.345,Neu
34,niallant3,2017-10-24 19:34,0,2,loved,,#happydeathday #horror #horrormovie #horrorfilm #horrorfilms #scarymovies #HorrorMovies,922969544125186049,0.5994,0.0,1.0,0.0,Pos
35,kikiswish05,2017-10-24 19:31,0,0,hope good want,,#HappyDeathDay #siblingdate,922968935837896705,0.7269,0.0,1.0,0.0,Pos
36,MkyyR_,2017-10-24 19:31,0,1,believe figured killer happy death day movie trailer,,,922968890526728193,-0.6705,0.485,0.219,0.296,Neg
37,JMDC_16,2017-10-24 19:30,0,2,sige ra kog katawa sa happy death day hahahaha,,,922968635210997760,-0.0516,0.267,0.253,0.479,Neu
38,coverlit,2017-10-24 19:29,0,0,time see happy death day eat candy feel,,,922968441341931520,-0.0516,0.287,0.272,0.441,Neu
39,CinemaTomahawk,2017-10-24 19:26,0,0,happy starting friday october happy death day rated showtime night,,,922967635196891137,0.5423,0.213,0.404,0.383,Pos
40,_martinviaje,2017-10-24 19:25,1,6,happy death day bad genius watch u penge barya,,,922967247982702592,-0.5719,0.46,0.23,0.311,Neg
41,amynd1,2017-10-24 19:24,0,1,happy death day,,,922967067866882048,-0.0516,0.453,0.43,0.116,Neg
42,lovesierra3,2017-10-24 19:24,0,0,going see happy death day,,,922966984647741441,-0.0516,0.368,0.349,0.283,Neg
43,clowchan,2017-10-24 19:23,0,0,also happy death day good,,,922966874828271618,0.4019,0.312,0.528,0.16,Pos
44,joe_weston18,2017-10-24 19:23,0,2,dudeee tryin go watch happy death day tonight,,,922966744569991169,-0.0516,0.287,0.272,0.441,Neu
45,Cinemax3d,2017-10-24 19:23,0,0,este jueves estrenaremos,,#FelizD #HappyDeathDay,922966699338600448,0.0,0.0,0.0,1.0,Neu
46,MattCruse,2017-10-24 19:21,1,1,plans changed making happy death day,,,922966427602178053,-0.0516,0.336,0.319,0.345,Neu
47,TrainerDaxx,2017-10-24 19:21,0,4,surprised really find,,#HappyDeathDay,922966412666331136,0.2263,0.0,0.487,0.513,Neu
48,balletlover_cs,2017-10-24 19:21,0,2,sola en el cine viendo happy death day como llego casa,,,922966279102844929,-0.0516,0.235,0.223,0.542,Neu
49,billiescult,2017-10-24 19:21,0,0,katie gonna see happy death day,,,922966204028997634,-0.0516,0.336,0.319,0.345,Neu
50,vinicius_minela,2017-10-24 19:20,0,0,happy death day sc,@GNC_Cinemas,,922966063108775943,-0.0516,0.406,0.385,0.208,Neg
51,MGVigo,2017-10-24 19:19,0,1,gonna watch happy death day friend theater used work give good tips give away free food,,,922965759902539777,0.8481,0.139,0.468,0.393,Pos
52,aImightyem,2017-10-24 19:19,0,1,carter happy death day,,,922965746401017856,-0.0516,0.406,0.385,0.208,Neg
53,BradySalisbury,2017-10-24 19:19,0,1,happy death day fuego,,#HappyDeathDay,922965741481152513,-0.0516,0.406,0.385,0.208,Neg
54,krissysmilzes,2017-10-24 19:18,0,0,loved happy death day,,,922965619301081088,0.5719,0.312,0.608,0.08,Pos
55,nataliaacrz,2017-10-24 19:18,0,0,estrenan happy death day,@Cinepolis,,922965550644461574,-0.0516,0.406,0.385,0.208,Neg
56,krissysmilzes,2017-10-24 19:18,0,0,finally seeing happy death day,,,922965482029842433,-0.0516,0.368,0.349,0.283,Neg
57,nataliaacrz,2017-10-24 19:18,0,0,cuando estrenan happy death day,,,922965460483756032,-0.0516,0.368,0.349,0.283,Neg
58,MariaSalaz10,2017-10-24 19:17,0,4,showing boo madea halloween happy death day drive,,,922965337238376449,-0.0516,0.287,0.272,0.441,Neu
59,manilaprincess_,2017-10-24 19:17,0,0,happy death day good,,,922965299204382720,0.4019,0.339,0.574,0.087,Pos
60,iL_Roumi,2017-10-24 19:15,0,0,happy death day,,,922964889731289090,-0.0516,0.453,0.43,0.116,Neg
61,D_lakes22,2017-10-24 19:15,0,1,anyone wanna go see happy death day discount day bucks,,,922964801566978048,-0.0516,0.25,0.237,0.513,Neu
62,savemefrme,2017-10-24 19:15,0,1,happy death day looks,,,922964714681970688,-0.0516,0.406,0.385,0.208,Neg
63,yourhighnessO,2017-10-24 19:15,0,0,happy death day last good movie,,,922964696441020416,0.4019,0.289,0.489,0.222,Pos
64,haleybard,2017-10-24 19:13,0,2,wanna see happy death day go,,,922964373508849664,-0.0516,0.336,0.319,0.345,Neu
65,Auslly12,2017-10-24 19:13,0,0,know could tell us happy death day,,,922964189768847361,-0.0516,0.31,0.294,0.397,Neu
66,theBeautifulGee,2017-10-24 19:12,0,0,went watch happy death day movie lastnight,,,922964051659018245,-0.0516,0.31,0.294,0.397,Neu
67,Caudill1999,2017-10-24 19:11,1,1,date night babyyy seeing happy death day,,,922963838324092928,-0.0516,0.31,0.294,0.397,Neu
68,JoeTog64,2017-10-24 19:11,0,0,saw happy death day surprisingly good comedy bit cheesy enjoyable anyway,,,922963664952492032,0.8519,0.169,0.615,0.216,Pos
69,SamuelCockings,2017-10-24 19:10,0,0,saw happy death day great really enjoyed hope see love range,@jessica_rothe,,922963500795908096,0.942,0.141,0.678,0.181,Pos
70,rydeltomyell,2017-10-24 19:09,0,0,happy death day dumbest movie ever seen lmao,,,922963379614076928,0.1027,0.383,0.404,0.213,Pos
71,rylandlynch,2017-10-24 19:09,269,1266,happy death day crazy yo,,,922963277990182912,-0.3818,0.525,0.308,0.167,Neg
72,_essellee,2017-10-24 19:08,1,0,happy death day sooooo good want watch,,,922962943477714944,0.4588,0.264,0.534,0.203,Pos
73,matt_skylar,2017-10-24 19:07,0,0,love stuck mother mother stuck head since saw happy death day,,,922962833935142917,0.25,0.362,0.362,0.275,Pos
74,RyanricT,2017-10-24 19:07,0,0,happy death day,,,922962756185284614,-0.0516,0.453,0.43,0.116,Neg
75,turnxoverr,2017-10-24 19:05,0,1,happy death day acc good film,,,922962402358059009,0.4019,0.289,0.489,0.222,Pos
76,NotLukeKuechly,2017-10-24 19:04,0,1,happy death day need amazing story amazing want fun movie stars,,,922962114364493825,0.9001,0.157,0.641,0.202,Pos
77,watchnewmovies5,2017-10-24 19:04,0,0,happy death day full movie watch online hd print free download,,,922962090901561344,0.4767,0.206,0.37,0.423,Neu
78,racinmason20,2017-10-24 19:04,0,0,gonna see happy death day thoughts,@UniversalHorror,,922961988191371264,-0.0516,0.336,0.319,0.345,Neu
79,AriatnaDwi,2017-10-24 19:03,0,0,satunya siapa lagi hayo,@ariatnadwi @,#happydeathday #nonton #hobby,922961718946467841,0.0,0.0,0.0,1.0,Neu
80,rachelschweick,2017-10-24 19:01,0,1,hanging,,#watchingafilm #newone #happydeathday,922961271586254850,0.0,0.0,0.0,1.0,Neu
81,lauren_aroha,2017-10-24 19:00,1,2,happy death day scary,,,922961104044789760,-0.5267,0.602,0.314,0.085,Neg
82,Giggles_2496,2017-10-24 18:59,0,0,watched happy death day,,,922960743003295744,-0.0516,0.406,0.385,0.208,Neg
83,MelSadity,2017-10-24 18:59,0,1,watching happy death day dying see,,,922960730680373248,-0.0516,0.336,0.319,0.345,Neu
84,_Blade_God,2017-10-24 18:58,0,0,watch know laugh possibly scary,,#happydeathday,922960465738821632,0.1027,0.327,0.367,0.306,Pos
85,samang0s,2017-10-24 18:57,1,0,seen happy death day worth,,,922960345160753152,0.1779,0.339,0.487,0.174,Pos
86,liisisaueauk,2017-10-24 18:57,0,0,happy death day,,,922960188407255040,-0.0516,0.453,0.43,0.116,Neg
87,ThatBAMFGator,2017-10-24 18:56,0,12,found much better option happy death day excited finally see one favorite movies big,@jessiemaltin,,922960046136360960,0.7964,0.157,0.482,0.361,Pos
88,sIeepingboys,2017-10-24 18:56,0,3,happy death day cute n funny n scary movie im crine,,,922960006839808000,0.3612,0.343,0.464,0.193,Pos
89,Screen_Goblin,2017-10-24 18:55,0,0,unhappy happy death day review,,#HappyDeathDay,922959887109369857,-0.4588,0.54,0.298,0.161,Neg
90,emilysblunt,2017-10-24 18:54,1,2,anyways going heading soon see happy death day come back stanning another white shoot face,,,922959588290383872,-0.3818,0.286,0.168,0.545,Neu
91,MattJColeman42,2017-10-24 18:54,0,0,hey costume designer decided protagonist wear shirt,@UniversalHorror @dumpstaphunk @erickrasno,,922959490365968384,0.0,0.0,0.0,1.0,Neu
92,giolimadas,2017-10-24 18:54,0,0,happy death day nova rj,@Kinoplex,,922959452587921409,-0.0516,0.368,0.349,0.283,Neg
93,WestSideMaj,2017-10-24 18:53,0,0,movies today wanna see happy death day,,,922959374812790784,-0.0516,0.31,0.294,0.397,Neu
94,RealDaveClarke,2017-10-24 18:53,0,0,watching happy death day,,#trakt,922959354252419073,-0.0516,0.406,0.385,0.208,Neg
95,MayaShangelou,2017-10-24 18:53,0,0,bouta watch happy death day,,,922959299814613002,-0.0516,0.368,0.349,0.283,Neg
96,leenybeeny,2017-10-24 18:53,0,0,wanna see flatliners happy death day,,,922959214036873216,-0.0516,0.336,0.319,0.345,Neu
97,Film_Wanderer,2017-10-24 18:52,0,0,neutral,@9,#HappyDeathDay,922959127353098240,0.0,0.0,0.0,1.0,Neu
98,starnote13,2017-10-24 18:51,0,0,hey follow,@taylormomsen @UniversalHorror,,922958818862141440,0.0,0.0,0.0,1.0,Neu
99,Derick_smithh,2017-10-24 18:51,2,2,wanna watch happy death day,,,922958732774002690,-0.0516,0.368,0.349,0.283,Neg
100,austinbucco,2017-10-24 18:51,0,1,saw happy death day last kinda mostly super fun every character,,,922958694714716161,0.7549,0.183,0.487,0.329,Pos
101,chasmangels,2017-10-24 18:49,0,0,see happy death day finally,,,922958362471526400,-0.0516,0.368,0.349,0.283,Neg
102,JaycLyn15,2017-10-24 18:49,0,5,wanna see happy death day b,,,922958287808712710,-0.0516,0.368,0.349,0.283,Neg
103,annushka_rogers,2017-10-24 18:49,0,0,wholeheartedly recommend scared pretty fun scarring,,#happydeathday,922958183588495360,0.7269,0.209,0.647,0.144,Pos
104,lavenderyugyeom,2017-10-24 18:48,0,2,pee pants happy death day,,,922958037882568704,-0.0516,0.368,0.349,0.283,Neg
105,KelisityAnne,2017-10-24 18:47,0,2,returned watching year,,#HappyDeathDay,922957847708581889,0.0,0.0,0.0,1.0,Neu
106,groovy_mo,2017-10-24 18:47,0,3,milwaukees best deep happy death day still fucking blows,,,922957629999255552,0.6124,0.219,0.444,0.337,Pos
107,TRIZIXGAMING,2017-10-24 18:45,0,0,added video playlist happy death day pewdiepie,@YouTube,,922957338423816192,-0.0516,0.31,0.294,0.397,Neu
108,Loulabelle7lcw,2017-10-24 18:45,0,0,happy death day,,#Today #HappyDeathDay,922957207968387073,-0.0516,0.453,0.43,0.116,Neg
109,matthewgumoco,2017-10-24 18:44,0,0,ha gustado un de el deja de vivir repetir tu happy death day lo lo,@YouTube,,922956964757495808,0.296,0.177,0.277,0.545,Neu
110,anothergabb,2017-10-24 18:44,0,0,happy death day buenaaa,,,922956908574728192,-0.0516,0.406,0.385,0.208,Neg
111,SammyJohnnx,2017-10-24 18:40,0,0,wanting go see cinema shit storyline shit ending,,#happydeathday,922956093617262593,-0.802,0.545,0.0,0.455,Neg
112,ast3arn,2017-10-24 18:40,0,0,cant find guy like carter happy death day idk wtf im gonna,,,922955935760502785,-0.7587,0.512,0.169,0.319,Neg
113,abimay_,2017-10-24 18:38,0,3,happy death day literally changed life,,,922955546319257600,-0.0516,0.336,0.319,0.345,Neu
114,AmyLaurens_,2017-10-24 18:37,0,1,happy death day finding avengers name,,,922955302567403522,-0.0516,0.336,0.319,0.345,Neu
115,RobIIINUFC,2017-10-24 18:37,0,0,nee saw happy death day instead today cos forgot thor today,,,922955194362671104,-0.0516,0.235,0.223,0.542,Neu
116,katiev1128,2017-10-24 18:37,0,1,happy death day literally good,,,922955148741275648,0.4019,0.312,0.528,0.16,Pos
117,itsmelupee,2017-10-24 18:37,0,0,really want watch happy death day busy,,,922955123332018176,0.1672,0.29,0.413,0.297,Pos
118,EDDGAWD,2017-10-24 18:36,0,2,need go watch happy death day,,,922954984047726592,-0.0516,0.336,0.319,0.345,Neu
119,EndlessZzzyeah,2017-10-24 18:36,0,0,happy death day top needed zero reference would classic,,,922954977278025728,0.1531,0.253,0.357,0.39,Neu
120,colbysfringe,2017-10-24 18:36,0,0,movie happy death day,,,922954940657684487,-0.0516,0.406,0.385,0.208,Neg
121,mezomefans,2017-10-24 18:35,0,0,happy death day murders sorority girl repeat worth seeing toofab review,,#happy #death,922954648486416384,-0.5106,0.385,0.273,0.341,Neg
122,Louvienne_,2017-10-24 18:34,0,0,happy death day made jumpp,,,922954507788673025,-0.0516,0.368,0.349,0.283,Neg
123,starnote13,2017-10-24 18:34,0,0,takes girl subway first,,,922954438662393857,0.0,0.0,0.0,1.0,Neu
124,_RazzleDazzle,2017-10-24 18:34,0,0,happy death day,,,922954400183869440,-0.0516,0.453,0.43,0.116,Neg
125,starnote13,2017-10-24 18:33,0,0,least rather outstanding actress,@UniversalHorror @jessica_rothe,,922954190850265089,0.6124,0.0,0.571,0.429,Pos
126,shara_dumas,2017-10-24 18:32,0,0,weekend,,,922953957701324800,0.0,0.0,0.0,1.0,Neu
127,_sayitaintKay,2017-10-24 18:31,0,0,happy death day good,,,922953763266146304,0.4019,0.339,0.574,0.087,Pos
128,GIRIBOYMUSIC,2017-10-24 18:31,0,1,went see happy death day actually loved,,,922953605921103872,0.5719,0.252,0.49,0.258,Pos
129,dannyboicunty,2017-10-24 18:30,0,1,crazy twist wtf,,#HappyDeathDay,922953497737342982,-0.7351,0.861,0.0,0.139,Neg
130,oLucasLab,2017-10-24 18:30,0,0,happy death day sp,@cinepolisbrasil,,922953493807271937,-0.0516,0.406,0.385,0.208,Neg
131,995TheRiver,2017-10-24 18:30,0,0,nite stops got hacks shape shifters,@onwithmario @jessica_rothe @courtneymlopez,#HappyDeathDay #Halloween,922953349531447296,-0.1531,0.242,0.0,0.758,Neu
132,MarkJabroni,2017-10-24 18:29,0,0,taken rumble bronx checking,@ForeignerMovie @HappyDeathDay @CineplexMovies @AvalonMall @TimePlayEnt,#CineplexCity #,922953248964833280,0.0,0.0,0.0,1.0,Neu
133,JuanIsNumeroUno,2017-10-24 18:26,0,1,happy death day shit,,,922952555277189122,-0.5859,0.615,0.303,0.082,Neg
134,fuckjayjiggy,2017-10-24 18:25,0,0,wanna go see happy death day someone,,,922952170043068418,-0.0516,0.31,0.294,0.397,Neu
135,jimisinatra,2017-10-24 18:24,0,0,gotta see happy death day,,,922951944225869824,-0.0516,0.368,0.349,0.283,Neg
136,Naticka_xoxo,2017-10-24 18:24,0,0,lol funny movie good mix horror suspense,,#happydeathday #birthdaygirl,922951883739795457,0.5994,0.242,0.562,0.196,Pos
137,ClockOfReverse,2017-10-24 18:24,0,0,quero ir ver happy death day ou como se chama parece ser bem fixe,,,922951874483048449,-0.0516,0.199,0.189,0.612,Neu
138,CallMeMeir,2017-10-24 18:23,0,0,happy death day,,,922951781369483265,-0.0516,0.453,0.43,0.116,Neg
139,xxofaIse,2017-10-24 18:23,0,1,finally watching happy death day kinda happy waste money go see,,,922951743100588034,0.2449,0.308,0.355,0.336,Pos
140,alterianinc,2017-10-24 18:23,1,5,masked killer happy death day movie thoughtful moment attacks poor tree,@creetureshow,,922951690260795398,-0.836,0.557,0.247,0.196,Neg
141,JELLALSEBASTIAN,2017-10-24 18:23,0,0,un video de la misma vida una otra happy death day,@YouTube,,922951684766265344,-0.0516,0.235,0.223,0.542,Neu
142,AlejandroAlva07,2017-10-24 18:22,0,0,saw happy death day give stars,,,922951407476424704,-0.0516,0.336,0.319,0.345,Neu
143,LaurenIrving91,2017-10-24 18:21,0,0,happy death day better watch thought would expected,,,922951151410180099,0.4019,0.252,0.426,0.323,Pos
144,pachecalice14,2017-10-24 18:19,4,0,e happy death day os filmes de terror q quero msm ver,,,922950801332621313,-0.5574,0.406,0.206,0.389,Neg
145,DakyrahF_,2017-10-24 18:19,0,0,happy death day damn corny,,,922950743392423936,-0.4404,0.537,0.301,0.163,Neg
146,cynan_davies,2017-10-24 18:19,0,0,happy death day would recommend,,,922950659481264129,0.3182,0.322,0.512,0.165,Pos
147,Carneezy_,2017-10-24 18:18,0,0,watching happy death day lol tell,@baby_bree15,,922950413967532032,0.3818,0.291,0.485,0.224,Pos
148,McGonadss,2017-10-24 18:17,0,2,happy death day fucking cliche short actually quite entertaining movie,,,922950316877737985,0.4576,0.219,0.387,0.393,Neu
149,angejoyrt,2017-10-24 18:17,0,1,happy death day coz defense,,,922950278663479296,0.0772,0.351,0.468,0.18,Pos
150,myfilm,2017-10-24 18:16,0,0,playlist happy death day playing theaters,@YouTube,,922950001294180353,0.1531,0.315,0.444,0.242,Pos
151,MovieCriticFeed,2017-10-24 18:15,0,0,reviews movie happy death day new paper,,#Movie,922949710914179072,-0.0516,0.31,0.294,0.397,Neu
152,Michelleeeeee06,2017-10-24 18:14,0,0,happy death day loooot scarier,,,922949491111624705,-0.0516,0.368,0.349,0.283,Neg
153,FrankMalfitano,2017-10-24 18:13,0,0,film often clever sometimes silly teen horror twist day charismatic perf jessica,,#happydeathday #film,922949179059552256,-0.1531,0.22,0.244,0.536,Neu
154,ionia_theatre,2017-10-24 18:11,0,0,starts friday october ionia theatre happy death day thriller,,,922948657443467264,0.0516,0.26,0.34,0.4,Neu
155,_kendrea6,2017-10-24 18:11,0,0,watching happy death day,,,922948594327572481,-0.0516,0.406,0.385,0.208,Neg
156,sassy__peaches,2017-10-24 18:09,0,4,happy death day pretty expecting,,,922948272905490432,0.4588,0.305,0.539,0.156,Pos
157,rosscoloredboy,2017-10-24 18:09,0,0,unrealistic thing happy death day tree wearing bra,,,922948115769982984,-0.0516,0.287,0.272,0.441,Neu
158,TLDR_MovRev,2017-10-24 18:08,0,0,surprised good,,#HappyDeathDay #31DaysOfHorror #31daysofhalloween,922947979471753216,0.5859,0.0,1.0,0.0,Pos
159,JordanGoochh,2017-10-24 18:07,0,0,see happy death day tonight,,,922947662353231872,-0.0516,0.368,0.349,0.283,Neg
160,RobertoCArteaga,2017-10-24 18:07,0,0,un video de el deja de vivir repetir tu happy death day lo lo,@YouTube,,922947604593496070,-0.0516,0.199,0.189,0.612,Neu
161,miahhdawnn,2017-10-24 18:06,0,2,happy death day sooooo gooooddd,,,922947431213424641,-0.0516,0.368,0.349,0.283,Neg
162,LovatoIreland,2017-10-24 18:05,0,0,started shit got actually really enjoyed,,#HappyDeathDay,922947087033077760,-0.0018,0.322,0.321,0.357,Neu
163,alienhames,2017-10-24 18:02,0,0,q essa q nos site pirata ainda tem happy death day eu ein eu n pago internet pra,,,922946406800941056,-0.0516,0.189,0.18,0.631,Neu
164,mineeeidy,2017-10-24 18:01,1,0,happy death day,,,922946263758397442,-0.0516,0.453,0.43,0.116,Neg
165,chloekwisz,2017-10-24 18:01,0,4,hmu u wanna go see happy death day halloween tho day,,,922946262479114242,-0.0516,0.25,0.237,0.513,Neu
166,ClaphamPabs,2017-10-24 18:01,0,6,omg go see happy death day funny scary loved,,,922946092727193601,0.5267,0.329,0.486,0.185,Pos
167,Luke_Blakley,2017-10-24 18:00,0,0,need go see happy death day looks way good scary movies one,,,922946017313656832,-0.128,0.327,0.304,0.369,Neu
168,sassygirlfit,2017-10-24 18:00,0,0,video,,#reaction #happydeathday #movie #movies #laugh #laughing #rottentomatoes #trailers #scary,922945893355216903,0.0,0.0,0.0,1.0,Neu
169,K_M_P,2017-10-24 17:59,0,0,happy death day actually really good imo,,,922945554539274240,0.4576,0.264,0.466,0.27,Pos
170,jakegyllenhaaal,2017-10-24 17:58,0,0,happy death day,,,922945297889812482,-0.0516,0.453,0.43,0.116,Neg
171,0gechiii,2017-10-24 17:57,0,0,watch alone coming person hates horror everything happy death day literally scary,,,922945249504309254,-0.9001,0.618,0.146,0.236,Neg
172,gollum1031,2017-10-24 17:57,0,0,watching happy death day regal cinemas natomas marketplace rpx,,,922945168814219264,-0.0516,0.267,0.253,0.479,Neu
173,abbwhi,2017-10-24 17:55,0,3,okay happy death day good,,,922944787929550848,0.5574,0.291,0.634,0.075,Pos
174,dsl151,2017-10-24 17:55,0,1,happy death day although nose every bit socially conscious,,#74,922944764969914369,-0.0516,0.267,0.253,0.479,Neu
175,JJM_Jester,2017-10-24 17:55,0,0,saw happy death day hope see horror killed,@jessica_rothe,,922944670996471808,-0.7579,0.558,0.304,0.138,Neg
176,wvlkingdad,2017-10-24 17:55,0,0,happy death day echt,,,922944597936001024,-0.0516,0.406,0.385,0.208,Neg
177,max_clement,2017-10-24 17:54,0,0,seeing happy death day hoping fun heard,,,922944518160130048,0.7096,0.234,0.587,0.18,Pos
178,_angiebaby001,2017-10-24 17:53,0,0,watching happy death day,,,922944250622353408,-0.0516,0.406,0.385,0.208,Neg
179,Maaricontrerass,2017-10-24 17:50,0,0,happy death day mad trippi,,,922943465457115136,-0.5267,0.555,0.289,0.156,Neg
180,Danny_boiiiii,2017-10-24 17:47,0,1,wanna marry girl happy death day,,,922942710150979585,-0.0516,0.336,0.319,0.345,Neu
181,18thBrumaire,2017-10-24 17:47,0,1,annoying promo like someone problem groundhog day lack gratuitous violence,,#HappyDeathDay,922942548355756032,-0.8519,0.611,0.13,0.259,Neg
182,cinaraluana,2017-10-24 17:46,0,0,cinemark happy death day sc,,,922942483612487686,-0.0516,0.368,0.349,0.283,Neg
183,EQsagittarius,2017-10-24 17:45,0,1,excited see happy death day weekend,,,922942097426132992,0.296,0.3,0.469,0.231,Pos
184,wxitwhxt,2017-10-24 17:45,0,4,loooooool happy death day okay audience made jokes luv ldn,,,922942060000407552,0.4019,0.223,0.434,0.343,Pos
185,CoreyReviews,2017-10-24 17:43,0,0,halloween costume,@UniversalHorror,#HappyDeathDay #halloween #costume #Halloween2017 #horror #halloweencostume,922941619040436224,0.0,0.0,0.0,1.0,Neu
186,victyeah,2017-10-24 17:42,0,1,happy death day,,#trakt,922941313284263936,-0.0516,0.453,0.43,0.116,Neg
187,aimspaddock,2017-10-24 17:41,0,0,happy death day shit,,,922941226239832064,-0.5859,0.615,0.303,0.082,Neg
188,80lbMedia,2017-10-24 17:40,2,1,could via,@80lbMedia @dailymotion,#HappyDeathDay,922940961357025281,0.0,0.0,0.0,1.0,Neu
189,Chellybean0720,2017-10-24 17:40,0,0,going see happy death day see good bad movie,@jmenchions,,922940909402116097,-0.2023,0.389,0.347,0.263,Neg
190,malibu_mali,2017-10-24 17:40,0,0,happy death day good,,,922940839403368448,0.4019,0.339,0.574,0.087,Pos
191,jamiaaa___,2017-10-24 17:40,0,0,happy death day believe killing,,,922940801059090432,-0.6808,0.593,0.264,0.143,Neg
192,mangojuicequeen,2017-10-24 17:39,0,0,wanna see happy death day,,,922940724156485632,-0.0516,0.368,0.349,0.283,Neg
193,MovieMarker,2017-10-24 17:39,0,0,showing happy death day,,,922940570477170688,-0.0516,0.406,0.385,0.208,Neg
