body,date,retweets,favorites,mentions,hashtags,geo,Compound_Score,Negative_Score,Positive_Score,Neutral_Score,Indicator,GT
deadpool overtakes another million,2016-02-21 18:59:26,0,2,,#Deadpool #films,,0.0,0.0,0.0,1.0,NN,60
foi preciso atores para criar em deadpool deadpool se dando muito bem na bilheteria e na,2016-02-21 18:59:25,0,0,,,,0.0,0.0,0.0,1.0,NN,60
would deadpool,2016-02-21 18:59:25,0,0,@RouxMarkswoman,,,0.0,0.0,0.0,1.0,NN,60
movie deadpool actually get much love,2016-02-21 18:59:24,0,0,@LC_XI,,,0.6369,0.0,0.457,0.543,PP,60
consegui ver deadpool,2016-02-21 18:59:24,0,0,,,,0.0,0.0,0.0,1.0,NN,60
wanna see deadpool,2016-02-21 18:59:24,1,2,,,,0.0,0.0,0.0,1.0,NN,60
por consentirlos estoy viendo deadpool en cinepolis,2016-02-21 18:59:24,0,0,,,,0.0,0.0,0.0,1.0,NN,60
deadpool dos,2016-02-21 18:59:24,0,0,,,,0.0,0.0,0.0,1.0,NN,60
neutral,2016-02-21 18:59:22,0,0,@deadpoolmovie @RyanReynolds @starwars @filbarsonline @Marvel,#deadpool #bobafett #starwars #rapbattle,,0.0,0.0,0.0,1.0,NN,60
ha deadpool,2016-02-21 18:59:21,0,1,,,,0.34,0.0,0.706,0.294,PP,60
foi preciso atores para criar em deadpool deadpool,2016-02-21 18:59:21,0,0,,#fofoca #celebridade,,0.0,0.0,0.0,1.0,NN,60
oh shit theater plays old movies actually showing deadpool,2016-02-21 18:59:20,0,0,,,,-0.3818,0.286,0.159,0.556,Neg,60
deadpool great,2016-02-21 18:59:20,0,0,,,,0.6249,0.0,0.804,0.196,PP,60
foi preciso atores para criar em deadpool,2016-02-21 18:59:18,0,0,@TecnoBizz,#Fofoca #SDV,,0.0,0.0,0.0,1.0,NN,60
vu de shameless et twerker avec deadpool,2016-02-21 18:59:18,0,0,,,,-0.34,0.286,0.0,0.714,Neg,60
new print,2016-02-21 18:59:17,1,2,@VancityReynolds @missmorenab,#deadpool #MarvelDeadpool #marvel,,0.0,0.0,0.0,1.0,NN,60
foi preciso atores para criar em deadpool deadpool se dando muito bem na bilheteria e na,2016-02-21 18:59:17,0,0,,,,0.0,0.0,0.0,1.0,NN,60
liked video list boss low budget deadpool random moments,2016-02-21 18:59:16,0,0,@YouTube @uberhaxornova,#2,,0.1779,0.176,0.235,0.588,PP,60
deadpool box office blowout terrifies,2016-02-21 18:59:16,0,0,,#In #trading #investment,,-0.5574,0.474,0.0,0.526,Neg,60
took walk see,2016-02-21 18:59:16,0,1,,#vistatheatre #deadpool,,0.0,0.0,0.0,1.0,NN,60
said deadpool idc go watch civil war comes,2016-02-21 18:59:16,0,0,,,,-0.5994,0.358,0.0,0.642,Neg,60
deadpool lot,2016-02-21 18:59:15,0,1,,,,0.0,0.0,0.0,1.0,NN,60
deadpool,2016-02-21 18:59:15,1,4,@wiggonton,,,0.0,0.0,0.0,1.0,NN,60
foi preciso atores para criar em deadpool deadpool se dando muito bem na bilheteria e na,2016-02-21 18:59:15,0,0,,,,0.0,0.0,0.0,1.0,NN,60
deadpool thank much,2016-02-21 18:59:15,0,0,@marveleditsjess,,,0.3612,0.0,0.556,0.444,PP,60
deadpool como personaje tengo pendiente leer los ha subido puestos en la lista de,2016-02-21 18:59:13,0,0,,,,0.34,0.0,0.156,0.844,PP,60
deadpool,2016-02-21 18:59:11,0,7,,,,0.0,0.0,0.0,1.0,NN,60
foi preciso atores para criar em deadpool deadpool se dando muito bem na bilheteria e na,2016-02-21 18:59:11,0,0,,,,0.0,0.0,0.0,1.0,NN,60
deadpool great time btw would recommend percent children,2016-02-21 18:59:10,0,1,,,,0.765,0.0,0.524,0.476,PP,60
single actually decent movie deadpool think movie would look like academy award winner,2016-02-21 18:59:09,0,0,,,,0.8689,0.0,0.495,0.505,PP,60
deadpool e muito foda,2016-02-21 18:59:09,0,1,,,,0.0,0.0,0.0,1.0,NN,60
watching watch deadpool deleted,2016-02-21 18:59:08,0,0,,,,0.0,0.0,0.0,1.0,NN,60
fui ver deadpool es muy los chistes la muy bien hechas,2016-02-21 18:59:08,0,0,,,,0.0,0.0,0.0,1.0,NN,60
masih belom tgk deadpool,2016-02-21 18:59:08,0,0,,,,0.0,0.0,0.0,1.0,NN,60
deadpool mogi das,2016-02-21 18:59:04,0,0,@Cinemark,,,0.0,0.0,0.0,1.0,NN,60
devo fare un video su devo fare un video su devo fare un video su devo fare un,2016-02-21 18:59:04,0,0,,#TheFlash #Deadpool #Selvaggi,,0.0,0.0,0.0,1.0,NN,60
foi preciso atores para criar em deadpool deadpool se dando muito bem na bilheteria e na,2016-02-21 18:59:04,0,0,,,,0.0,0.0,0.0,1.0,NN,60
deadpool,2016-02-21 18:59:04,0,1,,,,0.0,0.0,0.0,1.0,NN,60
filme deadpool praticamente uma unanimidade entre os,2016-02-21 18:59:03,0,0,,,,0.0,0.0,0.0,1.0,NN,60
smoke work watch deadpool,2016-02-21 18:59:03,0,1,,,,0.0,0.0,0.0,1.0,NN,60
aakektbxiwb great movie love deadpool,2016-02-21 18:59:00,0,1,,,,0.8519,0.0,0.735,0.265,PP,60
deadpool chris,2016-02-21 18:58:59,0,0,,,,0.0,0.0,0.0,1.0,NN,60
por fiiiiiin vi deadpool,2016-02-21 18:58:59,0,0,,,,0.0,0.0,0.0,1.0,NN,60
ah veio deadpool mata universo marvel lindo demais,2016-02-21 18:58:58,0,0,@Ruffonildo_,,,0.4215,0.0,0.286,0.714,PP,60
thing hates deadpool uses make fun,2016-02-21 18:58:57,0,1,@AManCalledHwk @BlackGirlNerds @TheRayVolution,,,0.1027,0.284,0.324,0.392,PP,60
assclowns saw deadpool,2016-02-21 18:58:56,0,0,,,,0.0,0.0,0.0,1.0,NN,60
slept family went see deadpool without asked brother said want see deadpool,2016-02-21 18:58:56,0,0,,,,0.0772,0.0,0.106,0.894,PP,60
foi preciso atores para criar em deadpool deadpool se dando muito bem na bilheteria e na,2016-02-21 18:58:56,0,0,,,,0.0,0.0,0.0,1.0,NN,60
liked video ryan reynolds reveals deadpool training secret,2016-02-21 18:58:55,0,0,@YouTube,,,0.4215,0.0,0.286,0.714,PP,60
preciso ver deadpool de que filme bom da porra,2016-02-21 18:58:55,1,0,,,,0.0,0.0,0.0,1.0,NN,60
nesten alle du kjenner har sett deadpool utenom og du er den som jobber,2016-02-21 18:58:54,0,1,,,,0.0,0.0,0.0,1.0,NN,60
deadpool absolutely love fucking annoyingly,2016-02-21 18:58:53,0,0,@RyanReynolds,,,0.6697,0.0,0.529,0.471,PP,60
seeing deadpool second,2016-02-21 18:58:52,0,0,,,,0.0,0.0,0.0,1.0,NN,60
anyone wanna go see deadpool,2016-02-21 18:58:49,0,2,,,,0.0,0.0,0.0,1.0,NN,60
minha viu foto deadpool de zoera q ta rolando pra compartilhar e ajuda ele conseguir uma cirurgia ela compartilhou kkkkkkkkk,2016-02-21 18:58:48,0,0,,,,0.0,0.0,0.0,1.0,NN,60
refuse see deadpool,2016-02-21 18:58:48,0,0,,#TeamCap,,-0.296,0.524,0.0,0.476,Neg,60
deadpool,2016-02-21 18:58:47,0,0,,,,0.0,0.0,0.0,1.0,NN,60
lo mejor de deadpool es el sountrack,2016-02-21 18:58:47,0,1,,,,0.0,0.0,0.0,1.0,NN,60
fucking hilarious,2016-02-21 18:58:42,5,28,,#DeadPool,,0.4576,0.0,0.75,0.25,PP,60
al final la novia pero los malos la reviven la vuelven mala quiere matar deadpool,2016-02-21 18:58:39,0,0,,,,0.0,0.0,0.0,1.0,NN,60
deadpool salt n pepa song stuck head,2016-02-21 18:58:37,0,4,,,,-0.25,0.286,0.0,0.714,Neg,60
aviso de que en sortean merchandising de mas info en,2016-02-21 18:58:37,0,2,@elisasg12 @defanafan,#Deadpool,,0.0,0.0,0.0,1.0,NN,60
quase n falei de deadpool vou falar cuidado pq posso ou n dar spoilers,2016-02-21 18:58:36,0,0,,,,0.0,0.0,0.0,1.0,NN,60
make deadpool one im buying right,2016-02-21 18:58:36,0,0,@GUNNAROptiks,,,0.0,0.0,0.0,1.0,NN,60
soy de ese de mis amigos que ha visto deadpool,2016-02-21 18:58:36,0,0,,,,0.34,0.0,0.211,0.789,PP,60
buena fue deadpool les juro tienen que verla si si porque se van arrepentir yo publicidad pero si,2016-02-21 18:58:32,0,0,,,,0.0,0.0,0.0,1.0,NN,60
deadpool guys baby hand scene floor,2016-02-21 18:58:32,0,3,,,,0.4939,0.0,0.39,0.61,PP,60
vi deadpool curti demaiss,2016-02-21 18:58:31,0,0,,,,0.0,0.0,0.0,1.0,NN,60
dallas bbq bloaty deadpool fo missed chance last,2016-02-21 18:58:29,0,1,,,,-0.0516,0.216,0.196,0.588,NN,60
adesso che uscito il film di deadpool ho qualsiasi social che trabocca di fanart e cose riguardanti aspettavosoloquestomomentograzie,2016-02-21 18:58:28,0,2,,,,0.0,0.0,0.0,1.0,NN,60
subnormal dice el friki que tiene deadpool te tenes que,2016-02-21 18:58:28,0,3,@Juanpederasta,,,0.0,0.0,0.0,1.0,NN,60
saw deadpool movie loved loved every single character,2016-02-21 18:58:28,0,0,,,,0.8316,0.0,0.565,0.435,PP,60
liam ever seen deadpool,2016-02-21 18:58:27,0,0,@Real_Liam_Payne,,,0.0,0.0,0.0,1.0,NN,60
watched deadpool today loved way better,2016-02-21 18:58:26,0,0,,,,0.7783,0.0,0.63,0.37,PP,60
jajaja jodido,2016-02-21 18:58:22,0,0,,#Deadpool,,0.0,0.0,0.0,1.0,NN,60
deadpool es un hombre indigado porque le quemaron la cara experimentando al final de la se quita la ante su,2016-02-21 18:58:22,0,4,,,,0.0,0.0,0.0,1.0,NN,60
qnd fui ver deadpool eu sai da pedindo morte colossus pelo amor de deus matem ele pqp,2016-02-21 18:58:21,0,0,,,,0.6124,0.0,0.2,0.8,PP,60
box deadpool lording weekend,2016-02-21 18:58:19,0,0,,,,0.0,0.0,0.0,1.0,NN,60
wait minute deadpool still want see stop,2016-02-21 18:58:18,0,3,@RyanReynolds,,,-0.2263,0.259,0.153,0.588,Neg,60
gusta deadpool,2016-02-21 18:58:17,0,0,,#TeamCap,,0.0,0.0,0.0,1.0,NN,60
llevenme ver deadpool,2016-02-21 18:58:16,0,0,,,,0.0,0.0,0.0,1.0,NN,60
want go see deadpool upcoming playing games,2016-02-21 18:58:10,0,1,,,,0.2732,0.0,0.383,0.617,PP,60
deadpool chris evans robert downey se pelean por ryan reynolds en twitter,2016-02-21 18:58:09,0,0,,,,0.0,0.0,0.0,1.0,NN,60
install vps click deadpool hosting fans,2016-02-21 18:58:07,0,1,,#WordPress #tools #fiverr,,0.0,0.0,0.0,1.0,NN,60
saw best,2016-02-21 18:58:07,0,1,@VancityReynolds,#deadpool,,0.6369,0.0,0.808,0.192,PP,60
figure worth extra see deadpool epic waiting since script leak film,2016-02-21 18:58:04,0,0,@joshuajuran,,,-0.128,0.18,0.143,0.677,Neg,60
enjoyed deadpool way expected,2016-02-21 18:58:04,0,0,,,,0.5106,0.0,0.524,0.476,PP,60
ha gustado un de de go deadpool marvel capcom fate two,2016-02-21 18:58:04,0,0,@YouTube @maximilian_,,,0.6369,0.0,0.366,0.634,PP,60
many days canadian national news report stupid fuckin deadpool petition,2016-02-21 18:58:03,0,6,,,,-0.5267,0.274,0.0,0.726,Neg,60
assisti darem pro deadpool queria mais foi um filme de com piadas,2016-02-21 18:58:03,0,0,,,,0.0,0.0,0.0,1.0,NN,60
liked video deadpool movie review,2016-02-21 18:58:01,0,0,@YouTube,,,0.4215,0.0,0.412,0.588,PP,60
pensando aqui quem vou escolher pra ser minha companhia pra assistir deadpool,2016-02-21 18:58:01,0,0,,,,0.0,0.0,0.0,1.0,NN,60
seen deadpool understand would people kids watching,2016-02-21 18:58:00,0,0,,,,0.0,0.0,0.0,1.0,NN,60
deadpool fuxking amazing im love,2016-02-21 18:58:00,1,7,,,,0.8402,0.0,0.727,0.273,PP,60
anyone see deadpool,2016-02-21 18:57:58,0,1,,,,0.0,0.0,0.0,1.0,NN,60
vo ver deadpool,2016-02-21 18:57:58,0,0,,,,0.0,0.0,0.0,1.0,NN,60
deadpool dominates box,2016-02-21 18:57:56,0,0,,,,0.0516,0.0,0.375,0.625,NN,60
whiz kids step marketing message,2016-02-21 18:57:56,0,0,,#content #Deadpool #Marketing #Humor #SocialMedia #sales,,0.0,0.0,0.0,1.0,NN,60
shaved deadpool,2016-02-21 18:57:55,0,0,,,,0.0,0.0,0.0,1.0,NN,60
watching deadpool,2016-02-21 18:57:55,0,0,@scafftv @DrathianGull @Mr_Morefun,,,0.0,0.0,0.0,1.0,NN,60
deadpool beat star wars record russian box fun fact,2016-02-21 18:57:53,0,0,@kpmartin,,,-0.0772,0.259,0.237,0.504,Neg,60
deadpool benito df,2016-02-21 18:57:52,0,1,@Cinemex @robotiqui,,,0.0,0.0,0.0,1.0,NN,60
deadpool gets cancer debunking survivor one joke time via,2016-02-21 18:57:50,0,0,@Salon,,,-0.1779,0.291,0.311,0.397,Neg,60
entre deadpool la ruta nocturna el paseo con los perros se ha quedado un gran finde,2016-02-21 18:57:49,0,0,,,,0.34,0.0,0.138,0.862,PP,60
deadpool es mi nueva favorita,2016-02-21 18:57:49,1,1,,,,0.0,0.0,0.0,1.0,NN,60
really disappointed deadpool,2016-02-21 18:57:49,0,0,,,,-0.5256,0.629,0.0,0.371,Neg,60
flash deadpool,2016-02-21 18:57:49,0,0,,,,0.0,0.0,0.0,1.0,NN,60
deadpool wild movie entertaining,2016-02-21 18:57:48,0,0,,,,0.4404,0.0,0.492,0.508,PP,60
watched l,2016-02-21 18:57:47,0,0,,#Deadpool,,0.0,0.0,0.0,1.0,NN,60
deadpool archi bien,2016-02-21 18:57:46,0,0,,,,0.0,0.0,0.0,1.0,NN,60
acabei de assistir deadpool pra devolver dinheiro,2016-02-21 18:57:45,0,1,,,,0.0,0.0,0.0,1.0,NN,60
estou aqui esperando pra ver deadpool,2016-02-21 18:57:45,0,0,,,,0.0,0.0,0.0,1.0,NN,60
seu,2016-02-21 18:57:43,0,0,,#cable #deadpoolmovie2 #deadpool #xmen #xforce #comics #love #deadpoolmovie,,0.0,0.0,0.0,1.0,NN,60
gostei de um de deadpool player red,2016-02-21 18:57:37,0,1,@YouTube @viihferreiratm,,,0.0,0.0,0.0,1.0,NN,60
che acuerdense que deadpool viene de un comic,2016-02-21 18:57:36,0,1,,,,0.0,0.0,0.0,1.0,NN,60
fucking,2016-02-21 18:57:34,0,0,,#deadpool,,0.0,0.0,0.0,1.0,NN,60
needa go see deadpool,2016-02-21 18:57:33,0,4,,,,0.0,0.0,0.0,1.0,NN,60
watching deadpool right,2016-02-21 18:57:32,0,4,,,,0.0,0.0,0.0,1.0,NN,60
tiene un camello con tres ser deadpool,2016-02-21 18:57:32,0,0,,#QuieroVerDeadpool,,0.0,0.0,0.0,1.0,NN,60
finally watching deadpool,2016-02-21 18:57:30,0,3,,,,0.0,0.0,0.0,1.0,NN,60
deadpool de du des bonnes de et min inutiles qui viennent le dommage,2016-02-21 18:57:26,0,0,,,,0.0,0.0,0.0,1.0,NN,60
hope next deadpool movie love tired superhero movies like,2016-02-21 18:57:24,0,0,,,,0.7717,0.166,0.549,0.286,PP,60
deadpool,2016-02-21 18:57:22,0,1,@Ryan5SOS_,,,0.0,0.0,0.0,1.0,NN,60
liked video collider mail bag play cable deadpool,2016-02-21 18:57:22,0,0,@YouTube,,,0.6369,0.0,0.464,0.536,PP,60
quando deadpool por possui mais sanidade,2016-02-21 18:57:20,0,0,,,,0.0,0.0,0.0,1.0,NN,60
quero assistir deadpool,2016-02-21 18:57:20,1,0,,,,0.0,0.0,0.0,1.0,NN,60
liked video deadpool vs boba epic rap battles history bonus,2016-02-21 18:57:20,0,0,@YouTube @theepiclloyd,,,0.5719,0.164,0.396,0.44,PP,60
deadpool box office blowout terrifies via,2016-02-21 18:57:18,0,0,,#Tashify #MavoTV,,-0.5574,0.419,0.0,0.581,Neg,60
one favorite see hype,2016-02-21 18:57:17,0,0,@,#Marvel #Deadpool,,0.4588,0.0,0.5,0.5,PP,60
giving away something deadpool get,2016-02-21 18:57:17,0,0,@Listia,,,0.34,0.0,0.375,0.625,PP,60
copycat vanessa deadpool would discuss rampant depowering comicbook women,2016-02-21 18:57:15,0,0,@MarvelMovieNews,,,0.0,0.0,0.0,1.0,NN,60
deadpool fucking amazing,2016-02-21 18:57:13,0,1,,,,0.624,0.0,0.672,0.328,PP,60
joked actually mind keira knightley played cable deadpool,2016-02-21 18:57:12,0,4,,,,0.5719,0.0,0.439,0.561,PP,60
dmx started playing deadpool got way hype,2016-02-21 18:57:10,1,7,,#McDowellHoopsMemories,,0.2023,0.0,0.231,0.769,PP,60
hope deadpool success pissed gossip rags hyped,2016-02-21 18:57:09,0,0,@smichaelmadden,,,0.1779,0.381,0.426,0.194,PP,60
quiero ir al cine che quiero ver,2016-02-21 18:57:08,0,0,,#Deadpool,,0.0,0.0,0.0,1.0,NN,60
deadpool mis bolas tienen mamado con esa mierda,2016-02-21 18:57:07,0,0,,,,0.0,0.0,0.0,1.0,NN,60
mum said unless friend manage sneak cinema cant watch deadpool comes dvd,2016-02-21 18:57:06,0,0,,,,0.4939,0.0,0.225,0.775,PP,60
finally saw deadpool omg good,2016-02-21 18:57:05,0,0,,,,0.4404,0.0,0.42,0.58,PP,60
finally seeing deadpool woot min til showing,2016-02-21 18:57:03,0,0,,,,0.4215,0.0,0.318,0.682,PP,60
piscine de la ver deadpool con de,2016-02-21 18:57:02,0,0,@gamify_es,#LogroDesbloqueado,,0.0,0.0,0.0,1.0,NN,60
deadpool mocks says percent influential iphone technically,2016-02-21 18:57:02,0,0,,#News #TU,,-0.0258,0.275,0.266,0.459,NN,60
deadpool,2016-02-21 18:57:01,0,1,@kelseykingxo,,,0.0,0.0,0.0,1.0,NN,60
lowkey perfect part though deadpool serious character,2016-02-21 18:56:59,0,0,,,,0.5267,0.13,0.37,0.5,PP,60
deadpool recauda usd millones en taquilla se mantiene en la cima en,2016-02-21 18:56:58,0,0,@NTN24ve,,,0.0,0.0,0.0,1.0,NN,60
movie night hubby,2016-02-21 18:56:58,0,0,,#deadpool,,0.0,0.0,0.0,1.0,NN,60
please go see deadpool waste pooh falling got,2016-02-21 18:56:56,0,1,,,,-0.2732,0.376,0.197,0.427,Neg,60
al fin volveria verla unas cuantas veces loved,2016-02-21 18:56:56,0,1,,#Recomendada #Deadpool,,0.5994,0.0,0.358,0.642,PP,60
deadpool science hadsund amerikansk action og adventurefilm om den ukonventionelle,2016-02-21 18:56:55,0,0,,,,0.0,0.0,0.0,1.0,NN,60
things saw make pizza,2016-02-21 18:56:53,0,0,,#Deadpool,,0.0,0.0,0.0,1.0,NN,60
go see deadpool,2016-02-21 18:56:53,0,0,,,,0.0,0.0,0.0,1.0,NN,60
loved deadpool want see mean movies damn nice tell like love,2016-02-21 18:56:52,0,0,@VancityReynolds,,,0.9001,0.121,0.656,0.223,PP,60
deadpool muito showwww,2016-02-21 18:56:52,0,0,,,,0.0,0.0,0.0,1.0,NN,60
think funniest gag deadpool liam neeson dream,2016-02-21 18:56:50,0,0,,,,0.4939,0.2,0.467,0.333,PP,60
deadpool spoofs kanye backstage rant host rejection video,2016-02-21 18:56:47,0,0,,,,-0.7096,0.496,0.0,0.504,Neg,60
says instigating lol,2016-02-21 18:56:47,0,0,,#deadpool #sisterlove #sister #instigator #storyofourlives,,0.4215,0.0,0.583,0.417,PP,60
hoje fui ver deadpool com e,2016-02-21 18:56:47,0,0,,,,0.0,0.0,0.0,1.0,NN,60
box deadpool lording weekend,2016-02-21 18:56:46,0,0,,,,0.0,0.0,0.0,1.0,NN,60
ep talking tv shows axed soon renting games,2016-02-21 18:56:46,0,0,@VancityReynolds,#Deadpool,,-0.3182,0.247,0.0,0.753,Neg,60
trying get different movie incarnations negasonic teenage warhead angel dust,2016-02-21 18:56:44,0,0,,#deadpool,,0.0,0.0,0.0,1.0,NN,60
deadpool good feeling might second,2016-02-21 18:56:44,0,0,,,,0.5267,0.0,0.595,0.405,PP,60
ryan reynolds spoofs kanye backstage rant character deadpool,2016-02-21 18:56:44,0,0,,,,-0.34,0.255,0.0,0.745,Neg,60
deadpool,2016-02-21 18:56:41,0,0,@Cjhurtado1,,,0.0,0.0,0.0,1.0,NN,60
alright deadpool blow,2016-02-21 18:56:40,0,1,,,,0.25,0.0,0.5,0.5,PP,60
agent x complete issues marvel gail simone via,2016-02-21 18:56:38,0,0,@eBay,#Deadpool #1,,0.4215,0.0,0.318,0.682,PP,60
deadpool,2016-02-21 18:56:38,0,0,,,,0.0,0.0,0.0,1.0,NN,60
watching deadpool,2016-02-21 18:56:35,0,0,,,,0.0,0.0,0.0,1.0,NN,60
want see deadpool bad,2016-02-21 18:56:34,1,0,,,,-0.4939,0.515,0.191,0.294,Neg,60
deadpool explicit really good,2016-02-21 18:56:33,0,1,,,,0.4927,0.0,0.516,0.484,PP,60
gostei de um de speed art banner estilo quadrinhos deadpool mande seu tema,2016-02-21 18:56:33,0,0,@YouTube @crazyplaysbrbr,,,0.0,0.0,0.0,1.0,NN,60
box deadpool bedevils,2016-02-21 18:56:32,0,0,,,,0.0,0.0,0.0,1.0,NN,60
les cuento deque ido ver la radio,2016-02-21 18:56:30,0,2,,#Deadpool,,0.0,0.0,0.0,1.0,NN,60
deadpool fucking master nothing say,2016-02-21 18:56:30,0,0,@VancityReynolds,,,0.0,0.0,0.0,1.0,NN,60
watching deadpool watching stream alright,2016-02-21 18:56:28,0,1,@TimberPuppers,,,0.25,0.0,0.333,0.667,PP,60
r u coming deadpool movie thing lafa,2016-02-21 18:56:28,0,0,@hugoTK_,,,0.0,0.0,0.0,1.0,NN,60
deadpool,2016-02-21 18:56:28,0,0,,#deadpool #marvel #movie #drawing #art #sketch #digital,,0.0,0.0,0.0,1.0,NN,60
que buena deadpool,2016-02-21 18:56:27,1,0,,,,0.0,0.0,0.0,1.0,NN,60
