Unnamed: 0,username,date,retweets,favorites,text,mentions,hashtags,id,Compound_Score,Negative_Score,Positive_Score,Neutral_Score,Indicator
14,GuapoMeech,10/14/2017 19:58,0,1,want see happy death day,,,9.19352e+17,0.0258,0.358,0.459,0.183,NN
15,austxxnn,10/14/2017 19:58,0,0,guessed killer happy death day right without seeing movie goat,,,9.19352e+17,-0.6705,0.434,0.196,0.37,Neg
16,muellerjr,10/14/2017 19:57,0,0,movie today used moviepass,,#HappyDeathDay #slasherfilm #moviepass,9.19352e+17,0.0,0.0,0.0,1.0,NN
17,egrdz22,10/14/2017 19:57,2,1,dude happy death day freaking good like best movie seen,,,9.19352e+17,0.765,0.279,0.554,0.167,PP
18,eXTeeGi,10/14/2017 19:57,0,2,glad saw battle sexes instead happy death day really,,,9.19351e+17,0.0516,0.357,0.368,0.275,NN
19,NinjaTheory22,10/14/2017 19:57,0,0,first happy death day murdery remake bill groundhog really,,,9.19351e+17,-0.0516,0.267,0.253,0.479,NN
20,saqua23,10/14/2017 19:57,0,1,actually really enjoyed walked expecting bad movie thoroughly enjoyed,,#HappyDeathDay,9.19351e+17,0.5699,0.21,0.431,0.36,PP
21,Janay_cicotte,10/14/2017 19:56,0,3,pal ella went see happy death day sold bad things always happen good people like fr,,,9.19351e+17,0.1779,0.269,0.331,0.4,PP
22,drarryisreal,10/14/2017 19:56,0,0,got back happy death day nd wasnt scary thank pretty sure ill sleep,,,9.19351e+17,-0.4234,0.439,0.331,0.23,Neg
23,NicKLASnotHOLAS,10/14/2017 19:56,0,1,seeing seeing times got,,#It #R #HappyDeathDay #PG13 #Movies,9.19351e+17,0.0,0.0,0.0,1.0,NN
24,iamkachae,10/14/2017 19:56,0,0,happy death day tonight,,,9.19351e+17,-0.0516,0.406,0.385,0.208,NN
25,Tyler_Dewayne22,10/14/2017 19:56,0,0,happy death day odd experience funny,,,9.19351e+17,0.1027,0.419,0.446,0.135,PP
26,barelyconcealed,10/14/2017 19:56,0,7,walks heels across directors never walked,@thenewarucan,#HappyDeathDay,9.19351e+17,0.0,0.0,0.0,1.0,NN
27,bloodylove10,10/14/2017 19:55,0,0,watching happy death day westfield sarasota square,,,9.19351e+17,-0.0516,0.31,0.294,0.397,NN
28,TroyTgood723,10/14/2017 19:55,0,0,movie really good go see,,#HappyDeathDay,9.19351e+17,0.4927,0.0,0.444,0.556,PP
29,groom_bonnie,10/14/2017 19:55,1,1,believe happy death day impressive dead fr,,,9.19351e+17,-0.296,0.451,0.385,0.165,Neg
30,lukaseggen,10/14/2017 19:54,0,1,quite year,@GetOutMovie @splitmovie @UniversalHorror @blumhouse @PopCorn_Media @FeelinFilm @InSessionFilm,,9.19351e+17,0.0,0.0,0.0,1.0,NN
31,ChasingCinema,10/14/2017 19:54,0,1,trying get halloween watch official review happy death day,,#HappyDeathDay,9.19351e+17,-0.0516,0.267,0.253,0.479,NN
32,RobbieBarstool,10/14/2017 19:54,0,17,happy death day voted review monday,,,9.19351e+17,-0.0516,0.336,0.319,0.345,NN
33,Jenice__,10/14/2017 19:53,0,0,seen happy death day ok,,,9.19351e+17,0.25,0.331,0.5,0.169,PP
34,VianeyA7,10/14/2017 19:53,0,0,going see happy death day,,,9.1935e+17,-0.0516,0.368,0.349,0.283,NN
35,RPbackstory,10/14/2017 19:53,0,0,happy death day entertaining couple funny like whole hog concept horror,,,9.1935e+17,0.5267,0.309,0.488,0.203,PP
36,sfinn97,10/14/2017 19:53,1,2,someone see happy death day soon pls,,,9.1935e+17,0.0258,0.302,0.388,0.31,NN
37,FreeBandChico,10/14/2017 19:53,0,0,girl talked going see gay ass movie happy death day tonight,,,9.1935e+17,-0.5719,0.387,0.194,0.419,Neg
38,feItIove,10/14/2017 19:52,0,2,watching happy death day tomorrow,,,9.1935e+17,-0.0516,0.368,0.349,0.283,NN
39,alexiswalker510,10/14/2017 19:52,0,0,aye go see happy death day tonight,,,9.1935e+17,-0.0516,0.31,0.294,0.397,NN
40,pat_encarnacion,10/14/2017 19:51,0,2,need watch happy death day pretty mean girls final destination combined one movie could,,,9.1935e+17,0.4588,0.179,0.317,0.505,PP
41,ErikaBaDoIt,10/14/2017 19:51,0,0,watch happy death day downtown brother theatre filled loud ass teenagers,,,9.1935e+17,-0.5719,0.387,0.194,0.419,Neg
42,DH_Method,10/14/2017 19:51,0,0,loved happy death day amazing movie beautiful actress great congratulations amazing,@jessica_rothe,,9.1935e+17,0.9756,0.115,0.797,0.088,PP
43,Teyhaa__,10/14/2017 19:51,0,0,happy death day stupid,,,9.1935e+17,-0.5574,0.608,0.308,0.083,Neg
44,BrandonTheotus,10/14/2017 19:51,0,0,happy death day litty lowkey,,,9.1935e+17,-0.0516,0.368,0.349,0.283,NN
45,Simon_Arseneau,10/14/2017 19:50,0,1,seen groundhog still thought loads,,#HappyDeathDay #Halloween,9.1935e+17,0.0,0.0,0.0,1.0,NN
46,JaylahZhane,10/14/2017 19:50,0,3,tryna go see happy death day damn hard thatttttttt gon throw,,,9.1935e+17,-0.5106,0.428,0.198,0.374,Neg
47,Ridiculous_Hair,10/14/2017 19:50,0,1,someone go shopping pls tomorrow see happy death day,,,9.1935e+17,0.0258,0.262,0.336,0.403,NN
48,PikaGokuMC,10/14/2017 19:50,0,0,liked video moist happy death day,@YouTube,,9.1935e+17,0.3818,0.291,0.485,0.224,PP
49,lukaseggen,10/14/2017 19:50,0,2,could headed toward opening weekend,@PopCorn_Media @FeelinFilm @InSessionFilm @blumhouse,#HappyDeathDay #boxoffice,9.1935e+17,0.0,0.0,0.0,1.0,NN
50,HardyolyMarie_,10/14/2017 19:49,0,0,happy death day demasiado cabronaaa,,,9.1935e+17,-0.0516,0.368,0.349,0.283,NN
51,blake__carlton,10/14/2017 19:49,0,4,happy death day sucks ass,,,9.1935e+17,-0.7351,0.678,0.253,0.068,Neg
52,DTF_SniiPerzZ,10/14/2017 19:49,0,0,liked video moist happy death day,@YouTube,,9.1935e+17,0.3818,0.291,0.485,0.224,PP
53,amayangonkeo,10/14/2017 19:49,0,1,happy death day next week,,,9.19349e+17,-0.0516,0.368,0.349,0.283,NN
54,alexisjoelle94,10/14/2017 19:48,0,0,wanna see happy death day bad,,,9.19349e+17,-0.5719,0.525,0.262,0.213,Neg
55,MCB_334,10/14/2017 19:48,0,1,saw movie high wouod watch,,#HappyDeathDay,9.19349e+17,0.0,0.0,0.0,1.0,NN
56,lauryn_michelle,10/14/2017 19:48,0,3,saw happy death day paranoid rest life,,,9.19349e+17,-0.296,0.434,0.272,0.294,Neg
57,reason313,10/14/2017 19:48,0,0,happy death day,,,9.19349e+17,-0.0516,0.453,0.43,0.116,NN
58,StefSings,10/14/2017 19:48,0,0,kiddos watching happy death day cinemark west plano,,,9.19349e+17,-0.0516,0.287,0.272,0.441,NN
59,thegabbs17,10/14/2017 19:48,1,1,super excited watch happy death day,,,9.19349e+17,0.7269,0.245,0.629,0.126,PP
60,dusty_dh,10/14/2017 19:48,0,0,happydeathdaymovie die loved scary,,#REPOST #HappyDeathDay,9.19349e+17,-0.4939,0.592,0.325,0.083,Neg
61,lezsss,10/14/2017 19:47,1,1,happy death day,,,9.19349e+17,-0.0516,0.453,0.43,0.116,NN
62,_MYbLAQiSPRETTY,10/14/2017 19:47,0,0,think happy death day gone scary,,,9.19349e+17,-0.5267,0.514,0.268,0.217,Neg
63,siIentoaths,10/14/2017 19:47,0,1,emily dimi seeing happy death day celebrate mao rank,,,9.19349e+17,0.5423,0.225,0.428,0.347,PP
64,girlyhabit,10/14/2017 19:47,0,0,wanna go see happy death day,,,9.19349e+17,-0.0516,0.336,0.319,0.345,NN
65,davidleegonzo,10/14/2017 19:46,0,1,im hella excited watch happy death day,,,9.19349e+17,0.4131,0.268,0.457,0.275,PP
66,gellaayyy,10/14/2017 19:46,0,0,happy death day,,,9.19349e+17,-0.0516,0.453,0.43,0.116,NN
67,marciojmsilva,10/14/2017 19:46,0,0,fails answer biggest question,,#HappyDeathDay,9.19349e+17,-0.4215,0.483,0.0,0.517,Neg
68,CheckMyResume,10/14/2017 19:46,0,0,anybody go see happy death day,,,9.19349e+17,-0.0516,0.336,0.319,0.345,NN
69,mbadkins787,10/14/2017 19:45,0,0,girl happy death day reminds alot someone use talk,,,9.19349e+17,-0.0516,0.267,0.253,0.479,NN
70,FAHDJ92,10/14/2017 19:45,0,0,happy death day,,,9.19348e+17,-0.0516,0.453,0.43,0.116,NN
71,TODDCastPodcast,10/14/2017 19:45,0,1,chirp take heat latest powered,@LA_GUNS @Letterman @UniversalHorror @Penthouse604,,9.19348e+17,0.0,0.0,0.0,1.0,NN
72,Bonbonpon3,10/14/2017 19:45,0,1,also love israel broussard love bling happy death day even love hate,,,9.19348e+17,0.8658,0.254,0.545,0.201,PP
73,CaineCoko,10/14/2017 19:44,0,0,liked enjoyable film would watch see happy death day yet heard entertaining,,,9.19348e+17,0.8126,0.168,0.53,0.302,PP
74,JennaDillinder,10/14/2017 19:44,0,0,happy death day,,,9.19348e+17,-0.0516,0.453,0.43,0.116,NN
75,JohnnyNotorious,10/14/2017 19:44,0,1,think worth,,#HappyDeathDay,9.19348e+17,0.2263,0.0,0.655,0.345,PP
76,MarissaCIaire,10/14/2017 19:44,3,0,want go see happy death day one go withhh,,,9.19348e+17,0.0258,0.262,0.336,0.403,NN
77,manuelfacundo_,10/14/2017 19:44,9,4,im trynna watch happy death day tbh,,,9.19348e+17,-0.0516,0.31,0.294,0.397,NN
78,anxmz,10/14/2017 19:44,1,11,tryna see happy death day tonight,,,9.19348e+17,-0.0516,0.336,0.319,0.345,NN
79,taylorwiley22,10/14/2017 19:43,0,4,soooo wants see happy death day w,,,9.19348e+17,-0.0516,0.336,0.319,0.345,NN
80,_unenthused,10/14/2017 19:43,0,2,half half covered clever horror comedy,,#HappyDeathDay #MeanGirls #GroundhogDay,9.19348e+17,0.2023,0.303,0.451,0.246,PP
81,AceKenshader,10/14/2017 19:43,0,0,tfw watch realize mask team name bayfield baby mascot,,#HappyDeathDay,9.19348e+17,0.0,0.0,0.0,1.0,NN
82,__alexisnicole,10/14/2017 19:43,19,21,wanna go see happy death day,,,9.19348e+17,-0.0516,0.336,0.319,0.345,NN
83,Patrick_Jamess,10/14/2017 19:43,0,1,happy death day good af,,,9.19348e+17,0.4019,0.312,0.528,0.16,PP
84,anebia12,10/14/2017 19:43,0,1,vejam happy death day,,,9.19348e+17,-0.0516,0.406,0.385,0.208,NN
85,tshsepticeye,10/14/2017 19:43,0,0,head immense pain bet ass im still gonna eat lollipop see happy death day tonight,,,9.19348e+17,-0.7906,0.421,0.146,0.433,Neg
86,SleezyBatman,10/14/2017 19:43,0,0,seen happy death day,,,9.19348e+17,-0.0516,0.406,0.385,0.208,NN
87,colliganjaycie,10/14/2017 19:42,0,1,seeing happy death day see,,,9.19348e+17,-0.0516,0.368,0.349,0.283,NN
88,queenncamm,10/14/2017 19:41,5,0,wanna see happy death day bad lol,,,9.19348e+17,-0.2263,0.438,0.385,0.178,Neg
89,Mabel0468,10/14/2017 19:41,0,3,go see happy death day,,,9.19348e+17,-0.0516,0.368,0.349,0.283,NN
90,lytle_edison,10/14/2017 19:41,0,0,okay tf trynna go see happy death day,,,9.19347e+17,0.1779,0.269,0.386,0.345,PP
91,donttouchmeho,10/14/2017 19:41,0,0,happy death day,,,9.19347e+17,-0.0516,0.453,0.43,0.116,NN
92,LKGaming17,10/14/2017 19:41,0,0,happy death day via,@YouTube,,9.19347e+17,-0.0516,0.406,0.385,0.208,NN
93,DaLunatic23,10/14/2017 19:41,0,2,watching happy death day alone spoopy,,,9.19347e+17,-0.296,0.468,0.294,0.238,Neg
94,_NiyMk,10/14/2017 19:40,0,1,theatre see happy death day keep mind tickers seats,,,9.19347e+17,-0.0516,0.267,0.253,0.479,NN
95,simplyycierraa_,10/14/2017 19:40,0,0,movies tonight see happy death day,,,9.19347e+17,-0.0516,0.336,0.319,0.345,NN
96,inaudible,10/14/2017 19:40,0,0,happy death day theaters fulton market happy death day new,@iPic,,9.19347e+17,-0.1027,0.368,0.349,0.283,Neg
97,miauniverze,10/14/2017 19:40,0,3,happy death day gonna online really want watch,,,9.19347e+17,0.101,0.275,0.373,0.352,PP
98,BlowYourDad,10/14/2017 19:40,0,0,opened doors rolling eyes happy death day even,,,9.19347e+17,-0.0516,0.287,0.272,0.441,NN
99,Daoshia,10/14/2017 19:39,0,0,really want see happy death day,,,9.19347e+17,0.1672,0.313,0.446,0.241,PP
100,melissamedaa,10/14/2017 19:39,0,1,happy death day worth really wanna go watch,,,9.19347e+17,0.1779,0.269,0.386,0.345,PP
101,Haneulkim12,10/14/2017 19:39,0,5,happy death day good,,,9.19347e+17,0.4019,0.339,0.574,0.087,PP
102,IxDxWxC,10/14/2017 19:38,0,0,liked video moist happy death day,@YouTube,,9.19347e+17,0.3818,0.291,0.485,0.224,PP
103,RetroGamer296,10/14/2017 19:38,0,0,aaahhctober review happy death day,,,9.19347e+17,-0.0516,0.368,0.349,0.283,NN
104,jmenzsz,10/14/2017 19:38,0,4,babe got date go see happy death day life going fucking swell,,,9.19347e+17,-0.0516,0.222,0.21,0.568,NN
105,MissyShekinah,10/14/2017 19:38,0,2,happy death day good movie anyone seen stupid,,,9.19347e+17,-0.1779,0.408,0.369,0.223,Neg
106,eddievercetti,10/14/2017 19:38,0,1,happy death day shocked written guy brought us horny starfire,,,9.19347e+17,-0.3612,0.367,0.219,0.414,Neg
107,e_r0s,10/14/2017 19:37,0,1,happy death day,,,9.19347e+17,-0.0516,0.453,0.43,0.116,NN
108,breakintheJuls,10/14/2017 19:37,0,0,happy death day,,,9.19347e+17,-0.0516,0.453,0.43,0.116,NN
109,ToriaSecret_,10/14/2017 19:37,0,0,taking see happy death day,,,9.19346e+17,-0.0516,0.368,0.349,0.283,NN
110,OnealBilly,10/14/2017 19:37,0,0,happy death day daughter,,,9.19346e+17,-0.0516,0.406,0.385,0.208,NN
111,MaxiMejia15,10/14/2017 19:37,0,3,happy death day good save,,,9.19346e+17,0.7096,0.265,0.667,0.068,PP
112,Maddie_030405,10/14/2017 19:36,7,3,wanna go see happy death day,,,9.19346e+17,-0.0516,0.336,0.319,0.345,NN
113,KailenAldridge,10/14/2017 19:36,0,1,someone go see happy death day,,,9.19346e+17,-0.0516,0.336,0.319,0.345,NN
114,OhFears,10/14/2017 19:36,0,0,wanna die whole week straight like girl happy death day,,,9.19346e+17,-0.1779,0.373,0.388,0.239,Neg
115,Blackktravv,10/14/2017 19:36,0,0,tryn go see happy death day,,,9.19346e+17,-0.0516,0.336,0.319,0.345,NN
116,liane25tigers,10/14/2017 19:36,0,0,movie kept us guessing right writers great job identity,,,9.19346e+17,0.6249,0.0,0.339,0.661,PP
117,LoveeTiaa,10/14/2017 19:36,0,1,happy death day,,,9.19346e+17,-0.0516,0.453,0.43,0.116,NN
118,B_Jennings1243,10/14/2017 19:36,0,0,hopefully see happy death day tomorrow,,,9.19346e+17,0.3612,0.293,0.481,0.226,PP
119,VodkaPoisonn,10/14/2017 19:36,0,1,happy death day great movie wish explained moreeeeee,,,9.19346e+17,0.765,0.212,0.571,0.217,PP
120,stephanie_webb0,10/14/2017 19:36,12,22,want go pumpkin patch also want see happy death day movie,,,9.19346e+17,0.1027,0.227,0.366,0.407,PP
121,teenagekiller,10/14/2017 19:35,0,1,cinemark happy death day santo sp,,,9.19346e+17,-0.0516,0.336,0.319,0.345,NN
122,faustshaus,10/14/2017 19:35,0,1,laughed way happy death day consider adding halloween movie,@kinda_cool,,9.19346e+17,0.4215,0.235,0.404,0.361,PP
123,sydlaykay,10/14/2017 19:35,0,0,want see happy death day,,,9.19346e+17,0.0258,0.358,0.459,0.183,NN
124,IFeelLikeWest,10/14/2017 19:35,0,1,happy death day fuckin trrrash,,,9.19346e+17,-0.0516,0.368,0.349,0.283,NN
125,notamykay,10/14/2017 19:35,0,2,quick reaction,,#HappyDeathDay #StardustApp,9.19346e+17,0.0,0.0,0.0,1.0,NN
126,Maikitoboii,10/14/2017 19:35,0,0,happy death day today quien,,,9.19346e+17,-0.0516,0.368,0.349,0.283,NN
127,AustinCaelan,10/14/2017 19:34,0,6,happy death day really exceeded given pretty bad movie title suggest go see,,,9.19346e+17,-0.0609,0.314,0.304,0.382,Neg
128,DylanMarkMurphy,10/14/2017 19:34,0,9,also gay guy happy death day helllllaaaa,,,9.19346e+17,-0.0516,0.31,0.294,0.397,NN
129,brokeandboujeee,10/14/2017 19:34,0,0,wanna go see happy death day needa date,,,9.19346e+17,-0.0516,0.287,0.272,0.441,NN
130,sydaroo_12,10/14/2017 19:34,0,3,happy death day actually pretty good movie,,,9.19346e+17,0.7096,0.234,0.587,0.18,PP
131,ShariLauree,10/14/2017 19:34,0,0,happy death day directed christopher landon,,,9.19346e+17,-0.0516,0.336,0.319,0.345,NN
132,liane25tigers,10/14/2017 19:34,0,0,movie talk keep u edge ur seat people ol scary,@UniversalHorror,,9.19346e+17,-0.4939,0.286,0.0,0.714,Neg
133,Chandler_420,10/14/2017 19:32,0,1,kicking go see happy death day guess,,,9.19345e+17,-0.0516,0.31,0.294,0.397,NN
134,sydneejoy23,10/14/2017 19:32,0,16,someone go happy death day,,,9.19345e+17,-0.0516,0.368,0.349,0.283,NN
135,robertsaborido,10/14/2017 19:32,0,0,happy death day slasher aplicada un fil narratiu de loop pur entreteniment de,,#Sitges50,9.19345e+17,-0.0516,0.21,0.199,0.591,NN
136,l3tm3liv3,10/14/2017 19:32,0,2,happydeathdaymovie,,#HappyDeathDay,9.19345e+17,0.0,0.0,0.0,1.0,NN
137,LargeMarge67,10/14/2017 19:32,0,0,latest,,#happydeathday #bladerunner2049,9.19345e+17,0.0,0.0,0.0,1.0,NN
138,12348v,10/14/2017 19:32,0,1,wanna go see happy death day,,,9.19345e+17,-0.0516,0.336,0.319,0.345,NN
139,Jaexoxo_,10/14/2017 19:31,0,0,might go see happy death day gonna make day,,,9.19345e+17,-0.0516,0.267,0.253,0.479,NN
140,desmariegg,10/14/2017 19:31,0,2,happy death day def worst movie ever seen,,,9.19345e+17,-0.6486,0.479,0.222,0.299,Neg
141,BrunooZaratee00,10/14/2017 19:31,0,0,voy ver happy death day al mepa que largo llorar en el medio de la peli,,,9.19345e+17,-0.0516,0.181,0.171,0.648,NN
142,sumeyaalington,10/14/2017 19:31,0,1,exceeded liked,,#HappyDeathDay,9.19345e+17,0.4215,0.0,0.737,0.263,PP
143,ysl_kris,10/14/2017 19:30,0,2,happy death day finessed ass,,,9.19345e+17,-0.5719,0.565,0.282,0.153,Neg
144,urboyyjojo,10/14/2017 19:30,0,0,wanna see happy death day,,,9.19345e+17,-0.0516,0.368,0.349,0.283,NN
145,oddfelicia_,10/14/2017 19:30,0,2,happy death day really actually enjoyed going movies often,,,9.19345e+17,0.5233,0.227,0.424,0.349,PP
146,GorTheMovieGod,10/14/2017 19:30,0,4,theater happy death day annoying loud ass kids already,,,9.19345e+17,-0.7506,0.537,0.197,0.266,Neg
147,nanipunani,10/14/2017 19:30,0,1,wanna go watch happy death day,,,9.19345e+17,-0.0516,0.336,0.319,0.345,NN
148,DiddensJared,10/14/2017 19:30,0,0,going see happy death day,,,9.19345e+17,-0.0516,0.368,0.349,0.283,NN
149,CrummyLuke,10/14/2017 19:30,0,0,refer happy death day day except true even jokes,,#meta,9.19345e+17,0.5574,0.224,0.489,0.287,PP
150,amjay718,10/14/2017 19:30,0,0,awesome beautiful,@jessica_rothe,#HappyDeathDay,9.19345e+17,0.8402,0.0,1.0,0.0,PP
151,rmarquardt1011,10/14/2017 19:29,0,1,happy death day amazing,,#10,9.19344e+17,0.5574,0.315,0.605,0.081,PP
152,ggfletcher,10/14/2017 19:29,0,2,boys loved,,#HappyDeathDay,9.19344e+17,0.5994,0.0,0.796,0.204,PP
153,ylimeballard,10/14/2017 19:29,0,0,someone take go see happy death day,,,9.19344e+17,-0.0516,0.31,0.294,0.397,NN
154,amjay718,10/14/2017 19:29,0,1,saw gorgeous,@raylynn93,#happydeathday,9.19344e+17,0.6124,0.0,0.8,0.2,PP
155,Chriswillman90,10/14/2017 19:29,0,1,blumhouse guess people get enough,,,9.19344e+17,0.0,0.0,0.0,1.0,NN
156,KevDontCare,10/14/2017 19:29,0,0,buy tickets wild early shit almost sold,,#HappyDeathDay,9.19344e+17,-0.5574,0.375,0.0,0.625,Neg
157,LaidiesmanVega,10/14/2017 19:28,0,1,bruh need go see,@UniversalHorror,#HappyDeathDay,9.19344e+17,0.0,0.0,0.0,1.0,NN
158,patkirchsucks,10/14/2017 19:28,0,10,alone movie theater see happy death day could ever ask,,,9.19344e+17,-0.296,0.355,0.223,0.422,Neg
159,PantherGabriell,10/14/2017 19:28,0,0,tacos imagine dragons tacos,@Torchy,#happydeathday,9.19344e+17,0.0,0.0,0.0,1.0,NN
160,ItsRachelW_,10/14/2017 19:28,0,0,movie happy death day like life yknow wake dead repeat,,,9.19344e+17,-0.4588,0.402,0.304,0.294,Neg
161,RascalFKennedy,10/14/2017 19:28,0,1,check film review via link,,#HappyDeathDay,9.19344e+17,0.0,0.0,0.0,1.0,NN
162,finahhnay,10/14/2017 19:27,0,1,happy death day good movie go watch scared,,,9.19344e+17,-0.0516,0.391,0.379,0.23,NN
163,CineGrades,10/14/2017 19:27,0,0,happy death day character dev creative kills solid performances lead roles fairly,,,9.19344e+17,-0.0516,0.327,0.363,0.31,NN
164,BigDaddyT__,10/14/2017 19:27,0,1,wanna see happy death day,,,9.19344e+17,-0.0516,0.368,0.349,0.283,NN
165,JustinBoone_,10/14/2017 19:26,0,6,wants go see happy death day,,,9.19344e+17,-0.0516,0.336,0.319,0.345,NN
166,ttamoniram,10/14/2017 19:26,1,0,seeing happy death day,,,9.19344e+17,-0.0516,0.406,0.385,0.208,NN
167,Dee_morgan23,10/14/2017 19:26,0,3,happy death day worst movie seen lmao,,,9.19344e+17,-0.1027,0.43,0.409,0.161,Neg
168,onIyhrry,10/14/2017 19:26,0,0,got home seeing happy death day best comedy far,,,9.19344e+17,0.7579,0.202,0.539,0.259,PP
169,DontTouchThat_1,10/14/2017 19:25,0,0,happy death day groundhog day scary,,,9.19344e+17,-0.5267,0.514,0.268,0.217,Neg
170,ecintron_,10/14/2017 19:25,0,0,anyone seen happy death day,,,9.19344e+17,-0.0516,0.368,0.349,0.283,NN
171,LKGaming17,10/14/2017 19:25,0,0,happy death day via,@YouTube,,9.19343e+17,-0.0516,0.406,0.385,0.208,NN
172,___Rochelle_,10/14/2017 19:25,0,0,happy death day better,,,9.19343e+17,0.4019,0.339,0.574,0.087,PP
173,kyliepuff,10/14/2017 19:25,0,1,happy death day,,,9.19343e+17,-0.0516,0.453,0.43,0.116,NN
174,IndiaPatrice97,10/14/2017 19:24,0,0,happy death day,,,9.19343e+17,-0.0516,0.453,0.43,0.116,NN
175,xkw__,10/14/2017 19:24,0,1,happy death day,,,9.19343e+17,-0.0516,0.453,0.43,0.116,NN
176,PancakeMix85,10/14/2017 19:24,0,1,surprisingly actually liked,,#HappyDeathDay,9.19343e+17,0.6124,0.0,0.833,0.167,PP
177,HbkTony,10/14/2017 19:24,0,2,tryin go see happy death day tomorrow really tony scoop,,,9.19343e+17,0.1725,0.237,0.339,0.425,PP
178,theAUSSTINNshow,10/14/2017 19:24,0,10,really want see happy death day,,,9.19343e+17,0.1672,0.313,0.446,0.241,PP
179,kochiiah,10/14/2017 19:24,0,5,devin r going see happy death day tonight,,,9.19343e+17,-0.0516,0.31,0.294,0.397,NN
180,electraheathens,10/14/2017 19:24,0,0,want watch happy death day,,,9.19343e+17,0.0258,0.358,0.459,0.183,NN
181,jamiedanae_,10/14/2017 19:24,0,0,happy death day,,,9.19343e+17,-0.0516,0.453,0.43,0.116,NN
182,breaunadeniser,10/14/2017 19:23,0,0,ending soooo,,#HappyDeathDay,9.19343e+17,0.0,0.0,0.0,1.0,NN
183,HorrorShowComix,10/14/2017 19:23,1,8,fun day movies happy death day definitely horror movie,,,9.19343e+17,0.2732,0.357,0.455,0.188,PP
184,NateCrowWriter,10/14/2017 19:23,23,21,latest review spoiler free,,#HappyDeathDay,9.19343e+17,0.5106,0.0,0.524,0.476,PP
185,breaunadeniser,10/14/2017 19:23,0,0,hella,,#HappyDeathDay,9.19343e+17,0.0,0.0,0.0,1.0,NN
186,dylan_flasher,10/14/2017 19:23,0,1,someone go see happy death day,,,9.19343e+17,-0.0516,0.336,0.319,0.345,NN
187,JAZZYGBDATBITCH,10/14/2017 19:23,0,0,happy death day,@8,,9.19343e+17,-0.0516,0.453,0.43,0.116,NN
188,brivxna,10/14/2017 19:22,0,1,still tryna see happy death day,,,9.19343e+17,-0.0516,0.336,0.319,0.345,NN
189,Kev_TruScorpio,10/14/2017 19:22,0,0,wanna see happy death day,,,9.19343e+17,-0.0516,0.368,0.349,0.283,NN
190,TristonJenner,10/14/2017 19:22,0,1,wanna see happy death day,,,9.19343e+17,-0.0516,0.368,0.349,0.283,NN
191,prasejeebus,10/14/2017 19:22,2,28,words happy death day spoiler loved,,,9.19343e+17,0.5719,0.269,0.524,0.207,PP
192,LizethCrdns,10/14/2017 19:22,0,0,saw happy death day roommate killer,,,9.19343e+17,-0.6705,0.55,0.248,0.201,Neg
193,gerardorivera45,10/14/2017 19:22,0,0,happy death day ta duraa,,,9.19343e+17,-0.0516,0.368,0.349,0.283,NN
194,watchmebeme,10/14/2017 19:22,0,1,loved movie buying day comes,,#HappyDeathDay,9.19343e+17,0.5994,0.0,0.494,0.506,PP
195,dawswiggity,10/14/2017 19:22,0,0,happy death day looks mad trash,,,9.19343e+17,-0.5267,0.514,0.268,0.217,Neg
