Unnamed: 0,username,date,retweets,favorites,text,mentions,hashtags,id,Compound_Score,Negative_Score,Positive_Score,Neutral_Score,Indicator
43,WhittierVillage,10/17/2017 19:38,0,0,trying survive,,#HappyDeathDay,9.20434e+17,0.0,0.0,0.0,1.0,NN
44,spacewerthers,10/17/2017 19:38,0,2,went saw happy death day last night know expecting worst ok,,,9.20434e+17,-0.4767,0.383,0.282,0.335,Neg
45,trisqrcinemas,10/17/2017 19:38,0,0,trying survive,,#HappyDeathDay,9.20434e+17,0.0,0.0,0.0,1.0,NN
46,Mr_Forgiving,10/17/2017 19:38,0,0,go see happy death day shit give back tho,,,9.20434e+17,-0.5859,0.436,0.215,0.349,Neg
47,cinemacty,10/17/2017 19:38,0,0,trying survive,,#HappyDeathDay,9.20434e+17,0.0,0.0,0.0,1.0,NN
48,linny_pinnyx,10/17/2017 19:38,1,2,silly worth thanks tickets,@Universal_Irl,#HappyDeathDay,9.20434e+17,0.5994,0.0,0.855,0.145,PP
49,DamnItStu,10/17/2017 19:37,0,0,happy death day,,,9.20434e+17,-0.0516,0.453,0.43,0.116,NN
50,reenage23,10/17/2017 19:37,0,0,go see happy death day,,,9.20434e+17,-0.0516,0.368,0.349,0.283,NN
51,Gabriel23415378,10/17/2017 19:36,0,0,going see happy death day bitches,,#OG,9.20433e+17,-0.6249,0.538,0.255,0.207,Neg
52,adrienne_bc,10/17/2017 19:36,0,13,see happy death day,,,9.20433e+17,-0.0516,0.406,0.385,0.208,NN
53,KuraMcGarden,10/17/2017 19:36,0,3,get dressed got tickets happy death day,,,9.20433e+17,-0.0516,0.31,0.294,0.397,NN
54,noodleluvr,10/17/2017 19:35,0,3,bouta see happy death day let yall know,,,9.20433e+17,-0.0516,0.287,0.272,0.441,NN
55,wallyisdead_,10/17/2017 19:34,0,0,liked video happy death day movie review,@YouTube,,9.20433e+17,0.3818,0.271,0.451,0.278,PP
56,KingAlece,10/17/2017 19:34,0,0,lmaoooo gonna go see happy death day tonight fr,,,9.20433e+17,-0.0516,0.267,0.253,0.479,NN
57,kikecay,10/17/2017 19:34,0,0,blade runner happy death day,,,9.20433e+17,-0.0516,0.368,0.349,0.283,NN
58,poohbadazz_,10/17/2017 19:33,0,0,gotta go see happy death day fell asleep mfa,,,9.20433e+17,-0.0516,0.267,0.253,0.479,NN
59,infoapasajadeh,10/17/2017 19:32,0,0,saksikan film dari happy death day hari ini tyg reguler di seluruh bioskop,,,9.20432e+17,-0.0516,0.21,0.199,0.591,NN
60,Sassykellie019,10/17/2017 19:32,0,0,wanna see happy death day ugh,,,9.20432e+17,-0.4588,0.5,0.276,0.224,Neg
61,TaJaraaaaa,10/17/2017 19:32,0,0,ready go see happy death day,,,9.20432e+17,0.3182,0.298,0.473,0.229,PP
62,valdezcharlie10,10/17/2017 19:32,4,2,wanna see happy death day,,,9.20432e+17,-0.0516,0.368,0.349,0.283,NN
63,infoapasajadeh,10/17/2017 19:31,0,0,berhasilkah tree memutuskan time loop yang ia siapakah pembunuh yang mengincar nyawa,,#HappyDeathDay,9.20432e+17,0.0,0.0,0.0,1.0,NN
64,infoapasajadeh,10/17/2017 19:31,0,0,berusaha keluar dari time loop di hari ulang tahunnya terus tree memutuskan untuk mencari tau pembunuh,,#HappyDeathDay,9.20432e+17,0.0,0.0,0.0,1.0,NN
65,DejahCosta_,10/17/2017 19:31,0,0,someone go see happy death day w,,,9.20432e+17,-0.0516,0.336,0.319,0.345,NN
66,AJGVulture89,10/17/2017 19:30,0,0,saw get need see look watched happy death day pleasantly surprised,,,9.20432e+17,0.5859,0.199,0.444,0.357,PP
67,PENGUIN0FGOTHAM,10/17/2017 19:30,0,0,got done watching happy death day shock amazing movie fav movie ever seen worth fullprice buy bluray,,,9.20432e+17,0.7096,0.217,0.415,0.368,PP
68,nickrusk1,10/17/2017 19:30,0,0,seen happy death day,@laurenfrancesca,,9.20432e+17,-0.0516,0.406,0.385,0.208,NN
69,talkfilmr,10/17/2017 19:30,0,0,happy death day day coming cinemas,,#HappyDeathDay #trailer,9.20432e+17,-0.0516,0.336,0.319,0.345,NN
70,ruthlezznigga,10/17/2017 19:30,0,0,happy death day later,,,9.20432e+17,-0.0516,0.406,0.385,0.208,NN
71,_TayJanay,10/17/2017 19:30,0,1,happy death day trash save money,,,9.20432e+17,0.4588,0.283,0.5,0.217,PP
72,infoapasajadeh,10/17/2017 19:29,0,0,tree gelbman seorang mahasiswi terjebak dalam hari yang sama bertepatan dengan hari,,#HappyDeathDay,9.20432e+17,0.0,0.0,0.0,1.0,NN
73,LamarKukuk,10/17/2017 19:29,0,0,loved lot esp scream queen tony cool end journey beginning,@jessica_rothe @the,#HappyDeathDay,9.20432e+17,0.5423,0.17,0.39,0.44,PP
74,JavisGonzalez01,10/17/2017 19:29,0,0,happy death day one greatest movies,@UniversalHorror,#HappyDeathDay,9.20432e+17,0.6124,0.264,0.534,0.203,PP
75,NamesFargo,10/17/2017 19:28,0,1,happy death day good ass movie,,,9.20431e+17,-0.2023,0.463,0.412,0.125,Neg
76,Soccer_Geeked,10/17/2017 19:28,0,0,got one see happy death day,,,9.20431e+17,-0.0516,0.336,0.319,0.345,NN
77,ShockWavesPod,10/17/2017 19:27,3,19,ep talking lgbt horror happy death day director christopher google play,,,9.20431e+17,-0.3612,0.367,0.295,0.338,Neg
78,MeganOlszanski,10/17/2017 19:27,0,2,happy death day actually wild asf definitely recommend going see,,,9.20431e+17,0.6124,0.207,0.473,0.319,PP
79,ryanking72,10/17/2017 19:27,0,0,saw happy death day definitely hate watching review,,#HappyDeathDay #NotThatBad,9.20431e+17,-0.296,0.422,0.356,0.222,Neg
80,nancycowww,10/17/2017 19:27,0,2,wanna watch happy death day,,,9.20431e+17,-0.0516,0.368,0.349,0.283,NN
81,guapo_money17,10/17/2017 19:26,0,0,happy death day pretty dope,,,9.20431e+17,0.4588,0.305,0.539,0.156,PP
82,darkmaraj,10/17/2017 19:26,0,1,happy death day,@ShowcaseUS,#NowWatching,9.20431e+17,-0.0516,0.453,0.43,0.116,NN
83,infoapasajadeh,10/17/2017 19:26,0,0,simak dulu kuy sinopsis singkat yang plotnya perpaduan groundhog day,,#HappyDeathDay,9.20431e+17,0.0,0.0,0.0,1.0,NN
84,cutejsw,10/17/2017 19:25,0,0,happy death day good movie tbh lot jumpscares ajzjsn,,,9.20431e+17,0.4019,0.236,0.4,0.364,PP
85,haIIowcen,10/17/2017 19:25,0,11,happy death day,,,9.20431e+17,-0.0516,0.453,0.43,0.116,NN
86,d_boy98,10/17/2017 19:24,0,0,peli de happy death day luego les cuento que tal para que aprovechen el viernes de cine,,,9.2043e+17,-0.0516,0.173,0.164,0.664,NN
87,SevianaDwiStya,10/17/2017 19:24,1,0,pengabdi happy death day,,,9.2043e+17,-0.0516,0.406,0.385,0.208,NN
88,damonedamon,10/17/2017 19:24,0,1,happy death day,,#movienight,9.2043e+17,-0.0516,0.453,0.43,0.116,NN
89,Micro_Blogs,10/17/2017 19:22,0,0,happy death day open top spots,,#_B_P,9.2043e+17,0.1531,0.315,0.444,0.242,PP
90,vanessaa_jb,10/17/2017 19:22,0,2,wanna see happy death day tonight,,,9.2043e+17,-0.0516,0.336,0.319,0.345,NN
91,GeeksGamersCom,10/17/2017 19:22,8,4,takes stab reviewing,@Deezus12 @blumhouse,#HappyDeathDay #Horror #Halloween,9.2043e+17,-0.5859,0.655,0.0,0.345,Neg
92,WolfmanWit,10/17/2017 19:22,0,1,pretty fun look,,#HappyDeathDay #WitmerReviews,9.2043e+17,0.7579,0.0,0.867,0.133,PP
93,22ndnotpregnant,10/17/2017 19:21,1,1,happy death day trash movie save,,,9.2043e+17,0.4588,0.283,0.5,0.217,PP
94,crtnykellr,10/17/2017 19:21,0,0,went seen happy death day actually,,,9.2043e+17,-0.0516,0.336,0.319,0.345,NN
95,Creature_Kris,10/17/2017 19:20,0,0,happy death day,,,9.20429e+17,-0.0516,0.453,0.43,0.116,NN
96,samby5,10/17/2017 19:20,0,0,liked video box office happy death day blade runner,@YouTube,,9.20429e+17,0.3818,0.238,0.396,0.366,PP
97,KC102,10/17/2017 19:20,0,0,happy death day,,#1,9.20429e+17,-0.0516,0.453,0.43,0.116,NN
98,janeglennn,10/17/2017 19:20,0,0,happy death day,,,9.20429e+17,-0.0516,0.453,0.43,0.116,NN
99,megankc4,10/17/2017 19:19,1,0,really want watch happy death day,,,9.20429e+17,0.1672,0.313,0.446,0.241,PP
100,sandyn75,10/17/2017 19:19,0,0,neutral,,#HappyDeathDay,9.20429e+17,0.0,0.0,0.0,1.0,NN
101,sandyn75,10/17/2017 19:19,0,1,quite enjoyed thanks tickets,@Universal_Irl,#HappyDeathDay,9.20429e+17,0.7764,0.0,0.772,0.228,PP
102,HHNDawg,10/17/2017 19:19,0,1,seeing,@UniversalHorror,#HappyDeathDay,9.20429e+17,0.0,0.0,0.0,1.0,NN
103,lavidiote,10/17/2017 19:18,0,0,movie happy death day watched yvespoppelaars,,#love,9.20429e+17,-0.0516,0.336,0.319,0.345,NN
104,alexarxse,10/17/2017 19:18,0,0,happy death day good shook,,,9.20429e+17,0.3182,0.411,0.512,0.078,PP
105,infoapasajadeh,10/17/2017 19:17,0,0,ada film baru minggu ini yang tayang mulai hari ini sudah bisa di saksikan hari ini di seluruh bioskop,,#HappyDeathDay,9.20429e+17,0.0,0.0,0.0,1.0,NN
106,THENICHOLASSIMS,10/17/2017 19:17,0,3,see foreigner happy death day,,,9.20429e+17,-0.0516,0.368,0.349,0.283,NN
107,mac_aaroni,10/17/2017 19:16,1,0,anybody saw happy death day worth,,,9.20428e+17,0.1779,0.312,0.448,0.24,PP
108,Dzzle_D,10/17/2017 19:15,0,0,happy death day surprisingly good,,,9.20428e+17,0.5994,0.285,0.642,0.073,PP
109,kar1itoz,10/17/2017 19:15,0,0,con candelaria estoy viendo happy death day en gqt holland,,,9.20428e+17,-0.0516,0.25,0.237,0.513,NN
110,Guanare,10/17/2017 19:15,0,0,happy death day open top spots,,#_B_P,9.20428e+17,0.1531,0.315,0.444,0.242,PP
111,meganmingersoll,10/17/2017 19:14,0,0,seen happy death day,,,9.20428e+17,-0.0516,0.406,0.385,0.208,NN
112,KingggTama,10/17/2017 19:13,0,0,unwind,,#happydeathday,9.20427e+17,0.0,0.0,0.0,1.0,NN
113,Trianaarechiga,10/17/2017 19:12,0,2,anyone wants come see happy death day hmu,,,9.20427e+17,-0.0516,0.287,0.272,0.441,NN
114,meyersfaith1,10/17/2017 19:12,0,0,happy death day good movie,,,9.20427e+17,0.4019,0.312,0.528,0.16,PP
115,younghambino,10/17/2017 19:12,0,0,main character happy death day blackface,,,9.20427e+17,-0.0516,0.336,0.319,0.345,NN
116,yourstrulyVL,10/17/2017 19:12,1,0,ever since watched happy death day stop saying byyyyyye like bitch,,,9.20427e+17,-0.5719,0.448,0.281,0.271,Neg
117,EmilyMazzarella,10/17/2017 19:12,0,1,happy death day good,,,9.20427e+17,0.4019,0.339,0.574,0.087,PP
118,alexe623,10/17/2017 19:11,0,3,someone pls see happy death day w weekend,,,9.20427e+17,0.0258,0.302,0.388,0.31,NN
119,Deezus12,10/17/2017 19:11,1,2,clever fantastic lead unique use well,,#horror #HappyDeathDay #31DaysOfHorror,9.20427e+17,0.8271,0.0,0.744,0.256,PP
120,blondemacaron,10/17/2017 19:11,0,3,go vip mills recliner seats fairview stand today froyo yum,,#HappyDeathDay,9.20427e+17,0.5106,0.0,0.268,0.732,PP
121,hellhorror,10/17/2017 19:11,3,5,rt takes stab reviewing,@GeeksGamersCom @Deezus12 @blumhouse,#HappyDeathDay #Horror #Halloween,9.20427e+17,-0.5859,0.559,0.0,0.441,Neg
122,AJGVulture89,10/17/2017 19:11,0,1,happy death day biggest surprise fantastic loved,@jessica_rothe,,9.20427e+17,0.8555,0.203,0.693,0.104,PP
123,SK1NNYM1NNY,10/17/2017 19:10,0,1,happy death day obvious,,,9.20427e+17,-0.0516,0.406,0.385,0.208,NN
124,GillianLouise13,10/17/2017 19:10,0,2,sht sana makuha ko na yung passes hahaha gusto ko ng mapanood yung happy death day gaaahhddd,,,9.20427e+17,0.5267,0.155,0.29,0.556,PP
125,KIDDCAPO_MOB,10/17/2017 19:09,0,0,bout see happy death day talkin bout,,,9.20427e+17,-0.0516,0.31,0.294,0.397,NN
126,LouanyCunha,10/17/2017 19:09,0,0,happy death day ce,@UCICinemas,,9.20427e+17,-0.0516,0.406,0.385,0.208,NN
127,GeeksGamersCom,10/17/2017 19:09,0,0,takes stab reviewing,@Deezus12 @blumhouse,#HappyDeathDay #Horror #Halloween,9.20426e+17,-0.5859,0.655,0.0,0.345,Neg
128,BecsBenedetti,10/17/2017 19:08,0,2,wow loved happy death day,@UniversalHorror,,9.20426e+17,0.8176,0.239,0.699,0.061,PP
129,__xtai,10/17/2017 19:08,0,0,happy death day good,,,9.20426e+17,0.4019,0.339,0.574,0.087,PP
130,Itsjaykeels,10/17/2017 19:06,0,0,marshall happy death day,,,9.20426e+17,-0.0516,0.406,0.385,0.208,NN
131,GlenmarieR,10/17/2017 19:06,0,1,happy death day estuvo buenaa,,,9.20426e+17,-0.0516,0.368,0.349,0.283,NN
132,J_Majesty_,10/17/2017 19:06,0,2,thought happy death day really,,,9.20426e+17,-0.0516,0.368,0.349,0.283,NN
133,yessicasarahi,10/17/2017 19:05,0,0,happy death day good,,,9.20425e+17,0.4019,0.339,0.574,0.087,PP
134,NiceNIzzy,10/17/2017 19:04,0,1,gonna pretend anything watching happy death day,,,9.20425e+17,-0.1531,0.408,0.285,0.308,Neg
135,homerpower2000,10/17/2017 19:04,0,1,want still need see original know need liked happy death day fun movie honestly better,,,9.20425e+17,0.9246,0.129,0.639,0.232,PP
136,ethansslegacy,10/17/2017 19:03,0,0,going see happy death day bestfriends friday,,,9.20425e+17,-0.0516,0.31,0.294,0.397,NN
137,AvonFoerster,10/17/2017 19:03,0,12,thanks letting happy death day use since properly pronounced shout,,,9.20425e+17,0.4019,0.223,0.377,0.4,PP
138,BORReport,10/17/2017 19:02,0,0,daily box office report october,,#BoxOffice #BladeRunner2049 #HappyDeathDay #TheForeigner,9.20425e+17,0.0,0.0,0.0,1.0,NN
139,WilfredQuiones1,10/17/2017 19:02,4,1,busco un date que ver happy death day,,,9.20425e+17,-0.0516,0.287,0.272,0.441,NN
140,qqueensheba,10/17/2017 19:01,0,0,happy death day shit really legit,,,9.20425e+17,-0.5859,0.528,0.261,0.211,Neg
141,OfficialYPA,10/17/2017 19:01,0,0,neutral,@natalieemmons,#HappyDeathDay,9.20425e+17,0.0,0.0,0.0,1.0,NN
142,rynecallahan,10/17/2017 19:01,0,1,happy death day,,,9.20425e+17,-0.0516,0.453,0.43,0.116,NN
143,KbA3_x0,10/17/2017 19:00,1,0,need see happy death day,,,9.20424e+17,-0.0516,0.368,0.349,0.283,NN
144,h16imax,10/17/2017 19:00,0,0,come see happy death day starring israel jessica movie critics calling,,,9.20424e+17,-0.34,0.343,0.208,0.449,Neg
145,FakeShemp,10/17/2017 18:59,0,0,got movie question tonight blade runner happy death day seen blade want see happy death day,,,9.20424e+17,-0.0258,0.284,0.316,0.4,NN
146,charley152,10/17/2017 18:59,0,0,tim never got come tree confronted sexuality tim still,,#Pray4Tim #happydeathday,9.20424e+17,-0.2023,0.184,0.0,0.816,Neg
147,VigiKelly,10/17/2017 18:58,0,1,box office happy death day blade runner via,@YouTube,,9.20424e+17,-0.0516,0.287,0.272,0.441,NN
148,charliezicari,10/17/2017 18:57,0,0,totally see,,#HappyDeathDay,9.20424e+17,0.0,0.0,0.0,1.0,NN
149,Mateo1876gunner,10/17/2017 18:57,0,0,happy death day budget million made good job,,,9.20424e+17,0.4019,0.252,0.426,0.323,PP
150,Sara__Vanessa,10/17/2017 18:56,0,0,happy death day,,,9.20423e+17,-0.0516,0.453,0.43,0.116,NN
151,_libby5,10/17/2017 18:55,3,2,trying go see happy death day go pumpkin patch weekend,,,9.20423e+17,-0.0516,0.25,0.237,0.513,NN
152,SoloWright21,10/17/2017 18:55,0,0,anyone seen happy death day wanna know worth go,,,9.20423e+17,0.1779,0.252,0.361,0.387,PP
153,southsidelili,10/17/2017 18:55,0,0,happy death day,,,9.20423e+17,-0.0516,0.453,0.43,0.116,NN
154,TODDCastPodcast,10/17/2017 18:55,0,0,heard powered get,@Penthouse604,#Letterman #LAGuns #HappyDeathDay,9.20423e+17,0.0,0.0,0.0,1.0,NN
155,LawrioPlays,10/17/2017 18:55,0,2,since watched sis interest idiots gonna go watch happy death day,,,9.20423e+17,0.4215,0.21,0.36,0.43,PP
156,pepsi_coke_001,10/17/2017 18:54,0,0,happy death day,,,9.20423e+17,-0.0516,0.453,0.43,0.116,NN
157,VIVALABUFFY,10/17/2017 18:54,0,0,liked happy death day,,,9.20423e+17,0.3818,0.342,0.57,0.088,PP
158,LifeOfAshleigh,10/17/2017 18:53,0,3,someone go see happy death day plz,,,9.20423e+17,0.0258,0.302,0.388,0.31,NN
159,JOHNERIGO1,10/17/2017 18:53,0,0,watching happy death day amc loews freehold metroplex cinema,,,9.20423e+17,0.128,0.255,0.353,0.392,PP
160,SincerelyAron,10/17/2017 18:53,0,1,yoooo good,,#HappyDeathDay,9.20422e+17,0.4404,0.0,0.744,0.256,PP
161,XOXOJasmiiine,10/17/2017 18:52,0,1,disappointed da club played single time happy death day,,,9.20422e+17,-0.2263,0.387,0.337,0.276,Neg
162,Kayleeeaaahhh_,10/17/2017 18:52,0,0,somebody taking see happy death day tonight,,,9.20422e+17,-0.0516,0.31,0.294,0.397,NN
163,mrpaulmarchand,10/17/2017 18:52,0,2,actually believe sean would tell happy death day,,,9.20422e+17,-0.0516,0.287,0.272,0.441,NN
164,_MarkThompson,10/17/2017 18:52,0,11,happy death day geostorm movies would playing movie theater drake josh,,,9.20422e+17,0.1531,0.224,0.316,0.46,PP
165,_jandavis,10/17/2017 18:50,2,3,happy death day esta hp,,,9.20422e+17,-0.0516,0.368,0.349,0.283,NN
166,BruceMHicks,10/17/2017 18:50,0,0,normally like watch horror movies worth seeing,,#HappyDeathDay,9.20422e+17,-0.0772,0.306,0.364,0.331,Neg
167,jessicacrets,10/17/2017 18:50,0,0,movie happy death day,,,9.20422e+17,-0.0516,0.406,0.385,0.208,NN
168,LaurenJorge,10/17/2017 18:50,1,5,get group go see happy death day chase,,,9.20422e+17,-0.0516,0.287,0.272,0.441,NN
169,abnerpastoll,10/17/2017 18:48,0,0,producer get split happy death day halloween,,,9.20421e+17,-0.0516,0.31,0.294,0.397,NN
170,shaylynbreidt,10/17/2017 18:48,7,31,kinda wanna get whole bunch snacks candy get pjs watch happy death day drive ins friends lolol,,,9.20421e+17,0.4404,0.158,0.275,0.567,PP
171,GrandCentralHuh,10/17/2017 18:47,0,0,happy death day movie scary twist novel depressing twist groundhog need new,,,9.20421e+17,-0.5719,0.427,0.264,0.308,Neg
172,Denbuddy,10/17/2017 18:46,0,0,happy death day great date idea bastards take side thots movies make pay,,,9.20421e+17,-0.128,0.371,0.311,0.319,Neg
173,hooneeeeyB21,10/17/2017 18:46,1,0,tienen que ver happy death day,,,9.20421e+17,-0.0516,0.336,0.319,0.345,NN
174,SahafahFan,10/17/2017 18:42,0,0,happy death day,,,9.2042e+17,-0.0516,0.453,0.43,0.116,NN
175,utrick09,10/17/2017 18:42,0,1,happy death day,,,9.2042e+17,-0.0516,0.453,0.43,0.116,NN
176,TheOuterHaven,10/17/2017 18:42,0,0,happy death day slashes way opening weekend blumhouse happy death day took spot,,#1,9.2042e+17,-0.296,0.384,0.296,0.32,Neg
177,Kyyrex,10/17/2017 18:39,0,0,happy death day really recommend,,,9.20419e+17,0.3804,0.315,0.524,0.161,PP
178,nickheer,10/17/2017 18:38,0,2,happy death day outperforming runner box office everything still,,,9.20419e+17,-0.0516,0.267,0.253,0.479,NN
179,wyatt_keahna,10/17/2017 18:37,6,18,really wanna go see happy death day,,,9.20418e+17,-0.0516,0.31,0.294,0.397,NN
180,maddyhicks12,10/17/2017 18:36,0,1,want go see happy death day,,,9.20418e+17,0.0258,0.328,0.42,0.252,NN
181,andrewbrian33,10/17/2017 18:36,0,2,kinda wanna see happy death day,,,9.20418e+17,-0.1189,0.344,0.303,0.353,Neg
182,LinedVianca,10/17/2017 18:35,0,0,happy death day acaba de decir que deje de tener housemates jajajaja,,,9.20418e+17,-0.0516,0.222,0.21,0.568,NN
183,vnvreli,10/17/2017 18:35,0,0,finna go see happy death day matrix cutieeeeee,,,9.20418e+17,-0.0516,0.287,0.272,0.441,NN
184,NERDstar23,10/17/2017 18:34,0,1,neutral,,#HappyDeathDay,9.20418e+17,0.0,0.0,0.0,1.0,NN
185,annikaxskye,10/17/2017 18:34,0,0,happy death day pretty good,,,9.20418e+17,0.7096,0.265,0.667,0.068,PP
186,hankcoca,10/17/2017 18:34,1,1,truly groundhogs day meets jessica rothe carries horror lite elevates kinda,,#HappyDeathDay,9.20418e+17,-0.2023,0.237,0.186,0.577,Neg
187,emi_mac13,10/17/2017 18:33,0,2,someone go see happy death day,,,9.20418e+17,-0.0516,0.336,0.319,0.345,NN
188,RiyadhVision,10/17/2017 18:32,0,0,happy death day scares,,,9.20417e+17,-0.3818,0.573,0.336,0.091,Neg
189,TaylorEightySix,10/17/2017 18:31,0,0,remind horror film oh well fast forward,@DavidBoreanazW,#Valentine #HorrorMovies,9.20417e+17,-0.3818,0.343,0.194,0.463,Neg
190,CoSF_Sunny,10/17/2017 18:31,0,1,saw movie happy death day really liked,,,9.20417e+17,0.4391,0.265,0.462,0.272,PP
